epoch,train_loss,train_accuracy,test_accuracy
1,0.3812555407258251,0.3902,0.3924
2,0.31167325746677726,0.49024,0.4863
3,0.26882020018594655,0.58308,0.5686
4,0.23307575224610547,0.64968,0.621
5,0.20403026801545915,0.70408,0.6592
6,0.17854939247945995,0.75564,0.6824
7,0.1537839165307068,0.807,0.6994
8,0.13059152572356228,0.8611,0.707
9,0.10399064351225751,0.91196,0.7132
10,0.0783556464169641,0.95906,0.7121
11,0.057276722004498945,0.98538,0.7091
12,0.02078469048947324,0.99846,0.7026
13,0.008863875036463706,0.99984,0.6988
14,0.0050101349528526365,1.0,0.6992
15,0.0034103542148037937,1.0,0.699
