epoch,train_loss,train_accuracy,test_accuracy
1,0.3330793911355844,0.5738,0.5604
2,0.23280025069975788,0.72684,0.6818
3,0.1643230920405034,0.84824,0.7383
4,0.10930508648038209,0.95868,0.7502
5,0.029228219074361454,0.99976,0.7436
6,0.0026256892424734216,1.0,0.7419
7,0.001156233401654665,1.0,0.7406
