epoch,train_loss,train_accuracy,test_accuracy
1,0.30348009920954666,0.65158,0.625
2,0.1831663180410859,0.82574,0.7325
3,0.1040610526865721,0.95826,0.7421
4,0.035726056182626684,0.99856,0.7388
5,0.006242086444706655,1.0,0.7421
