Sum_aa1,Diag_aa1,FRSD_aa1,FROZEN_aa1
0.10209999978542328,0.0982,0.0982,0.0982
0.0982,0.098,0.0982,0.0982
0.0886,0.0907,0.0976,0.0971
0.0845,0.085,0.0873,0.0944
0.1001,0.0928,0.096,0.0938
0.1095,0.1131,0.1354,0.1006
0.1309,0.1732,0.3625,0.1164
0.1764,0.355,0.3775,0.131
0.2372,0.3857,0.3288,0.1529
0.291,0.3716,0.4338,0.1724
0.3305,0.3189,0.3362,0.1949
0.3728,0.32,0.3862,0.2201
0.4188,0.3498,0.3863,0.2459
0.4664,0.3893,0.4507,0.2705
0.5101,0.4558,0.5427,0.2962
0.5542,0.5136,0.5896,0.3089
0.5932,0.577,0.6502,0.3183
0.628,0.6328,0.6939,0.3217
0.6504,0.6698,0.7386,0.317
0.6609,0.6992,0.7682,0.3374
0.673,0.7138,0.7915,0.355
0.6782,0.7236,0.8039,0.3766
0.6847,0.7325,0.814,0.3761
0.6831,0.7392,0.8198,0.3701
0.6933,0.7443,0.8261,0.3966
0.7015,0.749,0.8323,0.3867
0.7121,0.7545,0.8381,0.396
0.7177,0.7596,0.8431,0.3964
0.7243,0.7627,0.8485,0.4118
0.7269,0.7652,0.854,0.4056
0.7321,0.7672,0.8592,0.4138
0.735,0.7701,0.8652,0.4274
0.7387,0.7726,0.8705,0.4498
0.7427,0.7768,0.878,0.4552
0.7455,0.7797,0.883,0.4493
0.7472,0.7822,0.8876,0.4622
0.7481,0.7846,0.892,0.4636
0.7533,0.789,0.8973,0.4714
0.7559,0.7923,0.9025,0.4572
0.7575,0.7957,0.906,0.4763
0.7615,0.7984,0.9103,0.4795
0.7633,0.8021,0.9119,0.4878
0.7664,0.8037,0.9163,0.4865
0.7681,0.8063,0.9165,0.5019
0.7717,0.8086,0.9197,0.504
0.7722,0.8129,0.92,0.5025
0.7737,0.8147,0.9224,0.4891
0.7748,0.8192,0.9222,0.5043
0.7754,0.8216,0.9234,0.5274
0.7776,0.8242,0.9246,0.5443
0.78,0.825,0.923,0.5369
