Sum_aa1,Diag_aa1,FRSD_aa1,FROZEN_aa1
0.10234999656677246,0.0976,0.0982,0.0982
0.0982,0.08,0.0982,0.0795
0.0978,0.0756,0.0977,0.0982
0.0903,0.077,0.0876,0.0844
0.0867,0.0787,0.0882,0.0788
0.0877,0.0811,0.0894,0.0697
0.0864,0.0836,0.0896,0.0644
0.0845,0.0852,0.0795,0.0605
0.0812,0.0873,0.0808,0.067
0.0799,0.089,0.0834,0.0638
0.0789,0.0911,0.1012,0.0673
0.0784,0.0943,0.0976,0.069
0.0785,0.0972,0.1061,0.0733
0.0798,0.1002,0.1115,0.0703
0.083,0.103,0.119,0.0764
0.0862,0.1055,0.1233,0.0767
0.0874,0.1101,0.1252,0.0809
0.0906,0.1131,0.1269,0.0826
0.095,0.1163,0.131,0.0818
0.0983,0.1194,0.1349,0.0799
0.103,0.1229,0.1376,0.0844
0.1071,0.1261,0.1399,0.084
0.1124,0.1297,0.1455,0.0864
0.1185,0.1328,0.151,0.0854
0.1228,0.1362,0.1564,0.0876
0.1277,0.1391,0.1635,0.0852
0.1333,0.1429,0.1695,0.0905
0.1383,0.1465,0.1743,0.0891
0.1419,0.1513,0.1811,0.0897
0.1494,0.1548,0.189,0.0877
0.1551,0.1592,0.201,0.0918
0.1625,0.1635,0.2117,0.0896
0.1691,0.1686,0.2198,0.0916
0.1774,0.173,0.2331,0.0935
0.1835,0.1786,0.2418,0.0946
0.1908,0.1821,0.2564,0.0908
0.1979,0.1887,0.2693,0.0944
0.2083,0.194,0.2878,0.0937
0.2163,0.1987,0.3006,0.0956
0.227,0.2039,0.3114,0.096
0.2347,0.2096,0.3272,0.0927
0.2435,0.215,0.3415,0.0973
0.2519,0.221,0.3521,0.0997
0.2617,0.2246,0.3658,0.0943
0.2701,0.2306,0.3798,0.0974
0.2799,0.2357,0.3893,0.0997
0.2911,0.2418,0.4005,0.1017
0.3006,0.2477,0.4121,0.0976
0.3119,0.2544,0.421,0.0974
0.3185,0.2598,0.4283,0.0967
0.3263,0.2656,0.4384,0.1058
0.3373,0.2728,0.445,0.1012
0.3447,0.2797,0.4537,0.1005
0.3556,0.2866,0.4614,0.1064
0.3651,0.2951,0.4665,0.1096
0.3715,0.3008,0.4714,0.1061
0.3793,0.3079,0.4766,0.0984
0.3867,0.3138,0.4838,0.1087
0.3934,0.3196,0.4913,0.1108
0.4011,0.3272,0.4984,0.1035
0.4091,0.3349,0.5055,0.1004
0.4161,0.3412,0.5106,0.1077
0.4221,0.3473,0.5125,0.1135
0.4293,0.3545,0.517,0.1045
0.4369,0.3603,0.5204,0.1073
0.4434,0.3667,0.526,0.1121
0.4492,0.3724,0.5276,0.1126
0.4557,0.3767,0.5346,0.1078
0.4606,0.3806,0.5386,0.1051
0.4693,0.3853,0.5436,0.1157
0.4757,0.3893,0.5476,0.1124
0.4798,0.3977,0.5518,0.112
0.4845,0.402,0.556,0.1095
0.4889,0.408,0.5579,0.1168
0.4921,0.4135,0.5648,0.1167
0.4965,0.4192,0.5661,0.1144
0.5013,0.4235,0.5689,0.1162
0.5064,0.4285,0.5711,0.1178
0.511,0.4329,0.5752,0.1152
0.5152,0.4367,0.5766,0.1185
0.5198,0.44,0.578,0.114
0.5214,0.4451,0.582,0.1141
0.5254,0.4493,0.5838,0.1218
0.5273,0.4536,0.5881,0.1175
0.5304,0.4558,0.5888,0.1176
0.5335,0.4609,0.5934,0.121
0.5362,0.4664,0.5967,0.1176
0.5392,0.469,0.5996,0.1184
0.5437,0.4737,0.6026,0.1249
0.5472,0.4774,0.6035,0.1217
0.5506,0.4812,0.6055,0.125
0.5546,0.4847,0.6041,0.1242
0.5573,0.4872,0.6086,0.1249
0.5615,0.4897,0.6109,0.1213
0.5627,0.4922,0.6136,0.1322
0.5649,0.4955,0.6145,0.1267
0.5662,0.4991,0.6165,0.1249
0.5686,0.5011,0.6184,0.129
0.5706,0.5045,0.6185,0.1281
0.5731,0.5058,0.6212,0.1284
0.5743,0.5084,0.621,0.1285
0.5762,0.5103,0.6246,0.1278
0.5771,0.5138,0.6254,0.1302
0.5807,0.5168,0.6253,0.1341
0.5815,0.5202,0.6268,0.1347
0.5828,0.5222,0.6294,0.1304
0.5862,0.5257,0.629,0.1381
0.5868,0.528,0.632,0.1319
0.5877,0.5285,0.6325,0.133
0.5882,0.5315,0.6334,0.138
0.5904,0.5332,0.6341,0.1371
0.5924,0.535,0.6375,0.1367
0.594,0.5365,0.6397,0.1346
0.5941,0.5391,0.6389,0.1368
0.5953,0.5416,0.6412,0.14
0.5961,0.5444,0.6409,0.1392
0.5969,0.5474,0.6424,0.1401
0.5971,0.5501,0.645,0.14
0.5977,0.5515,0.6446,0.146
0.5998,0.5544,0.6452,0.1428
0.6009,0.5558,0.6477,0.1393
0.6021,0.5569,0.6497,0.1425
0.6022,0.5574,0.6504,0.1445
0.6041,0.5593,0.652,0.1437
0.6052,0.5601,0.6539,0.139
0.6064,0.5621,0.6544,0.1431
0.6065,0.5643,0.6554,0.148
0.6079,0.5665,0.6552,0.1465
0.6097,0.5678,0.6552,0.1396
0.6117,0.5696,0.6556,0.146
0.6118,0.5713,0.6573,0.1477
0.6142,0.5722,0.6567,0.1492
0.6148,0.5737,0.6604,0.1485
0.6157,0.5747,0.6608,0.146
0.6143,0.576,0.6601,0.151
0.6141,0.5771,0.6615,0.1474
0.6144,0.578,0.6615,0.1487
0.6157,0.5794,0.6629,0.1507
0.6163,0.5807,0.6659,0.1504
0.6177,0.5817,0.6648,0.1512
0.6174,0.5844,0.6665,0.1448
0.6183,0.5855,0.6663,0.1528
0.6186,0.5856,0.6658,0.1576
0.6191,0.5865,0.6673,0.1558
0.6194,0.5877,0.6686,0.142
0.622,0.5888,0.6675,0.1522
0.6224,0.5892,0.6677,0.1496
0.6217,0.5906,0.6672,0.1519
0.6219,0.5916,0.6693,0.149
0.623,0.5929,0.6709,0.1501
0.6238,0.5926,0.6708,0.1579
0.6247,0.5939,0.6689,0.1534
0.6248,0.5951,0.6709,0.1512
0.6254,0.5969,0.6703,0.1525
0.6258,0.5981,0.6702,0.16
0.6262,0.5984,0.6706,0.153
0.6267,0.5982,0.6725,0.1531
0.6265,0.5992,0.6726,0.157
0.627,0.6009,0.6732,0.1634
0.6266,0.6017,0.6729,0.1546
0.6273,0.6022,0.6729,0.1502
0.6279,0.6033,0.673,0.1556
0.6275,0.6041,0.6722,0.1586
0.6281,0.6057,0.673,0.1581
0.6284,0.6068,0.6746,0.1529
0.6299,0.6072,0.676,0.1595
0.6307,0.6076,0.675,0.162
0.6332,0.6084,0.6756,0.1608
0.6328,0.6088,0.6759,0.153
0.6342,0.6095,0.677,0.1553
0.634,0.6098,0.6768,0.1668
0.6345,0.6107,0.6781,0.1577
0.6344,0.611,0.6765,0.1493
0.6349,0.6115,0.6778,0.1592
0.6356,0.6122,0.6773,0.1619
0.6365,0.6125,0.6786,0.1631
0.6355,0.6129,0.6778,0.1581
0.6372,0.614,0.6798,0.157
0.6379,0.615,0.6779,0.1628
0.6384,0.616,0.6787,0.157
0.6385,0.6163,0.6776,0.1545
0.6397,0.617,0.6789,0.1601
0.64,0.6173,0.6791,0.1655
