Sum_aa1,Diag_aa1,FRSD_aa1,FROZEN_aa1
0.10234999656677246,0.0947,0.0982,0.0898
0.0935,0.1016,0.0947,0.1009
0.1024,0.1031,0.1036,0.1031
0.104,0.1026,0.1042,0.101
0.1047,0.1027,0.1039,0.1015
0.1047,0.1046,0.1049,0.1012
0.1046,0.1047,0.1086,0.1035
0.1012,0.1024,0.1123,0.1049
0.0972,0.0997,0.1152,0.1056
0.0945,0.1013,0.1128,0.1043
0.092,0.1053,0.1006,0.1049
0.0911,0.1101,0.0903,0.1047
0.0943,0.1067,0.1019,0.1044
0.098,0.1029,0.1011,0.1038
0.1002,0.102,0.1008,0.1057
0.1064,0.1017,0.101,0.1033
0.1124,0.1015,0.1014,0.104
0.1188,0.1013,0.1021,0.1028
0.1241,0.1011,0.1027,0.1031
0.1314,0.1016,0.1031,0.1024
0.1423,0.1029,0.1039,0.1029
0.1512,0.1046,0.1039,0.1027
0.1618,0.1066,0.105,0.1028
0.1788,0.1108,0.1076,0.1019
0.1939,0.1126,0.1107,0.1022
0.2108,0.1121,0.1134,0.1002
0.2256,0.1128,0.1177,0.1028
0.2422,0.1146,0.1223,0.1049
0.2601,0.119,0.1272,0.1044
0.2765,0.1242,0.1335,0.1039
0.2926,0.1304,0.1371,0.1044
0.3082,0.137,0.1418,0.1033
0.3262,0.1415,0.1453,0.1042
0.3447,0.1449,0.1506,0.1032
0.3607,0.146,0.1563,0.1062
0.3765,0.1468,0.162,0.1061
0.3904,0.1463,0.167,0.1052
0.4044,0.1449,0.1744,0.1062
0.4187,0.1438,0.183,0.107
0.431,0.1421,0.1911,0.1065
0.4434,0.1405,0.2005,0.1063
0.4534,0.14,0.2064,0.1058
0.4639,0.14,0.2173,0.1072
0.4746,0.1408,0.2287,0.1068
0.4861,0.142,0.2358,0.1084
0.4956,0.144,0.2478,0.1073
0.5055,0.1464,0.2602,0.1094
0.5155,0.1484,0.2714,0.1075
0.5246,0.1518,0.282,0.1076
0.5322,0.1553,0.2961,0.1074
0.542,0.1592,0.3088,0.1096
0.5499,0.1643,0.3229,0.1078
0.5565,0.1687,0.3354,0.1103
0.5627,0.1734,0.3509,0.109
0.5679,0.1783,0.3647,0.1099
0.573,0.1833,0.3786,0.109
0.5763,0.1881,0.3908,0.1124
0.582,0.1927,0.4035,0.1088
0.5847,0.1974,0.4175,0.1106
0.5876,0.202,0.4326,0.1094
0.5912,0.2062,0.4459,0.1117
0.5959,0.2097,0.4591,0.1101
0.5996,0.2132,0.4726,0.1129
0.6031,0.2175,0.4831,0.112
0.6059,0.2227,0.493,0.112
0.6084,0.2269,0.5046,0.1106
0.6089,0.23,0.5133,0.1142
0.6121,0.2328,0.5271,0.1111
0.6143,0.2366,0.5376,0.1137
0.617,0.2406,0.5442,0.1113
0.6188,0.2441,0.5534,0.1127
0.6205,0.2486,0.5615,0.1134
0.6219,0.2549,0.5671,0.1143
0.6228,0.2615,0.5768,0.1126
0.624,0.2653,0.5816,0.1146
0.6262,0.2685,0.5895,0.1138
0.6272,0.2734,0.5961,0.1158
0.6285,0.2792,0.6007,0.1148
0.6296,0.2847,0.6058,0.1154
0.6303,0.29,0.6092,0.1136
0.6319,0.2938,0.6145,0.1145
0.6313,0.2981,0.6192,0.1152
0.6338,0.3027,0.6236,0.1166
0.6359,0.3064,0.6286,0.116
0.6372,0.3111,0.6323,0.1165
0.6387,0.3155,0.6361,0.1157
0.6406,0.3203,0.6387,0.1178
0.6426,0.325,0.6433,0.1154
0.6445,0.3289,0.646,0.1163
0.6468,0.3327,0.6487,0.115
0.6483,0.3357,0.6528,0.1166
0.6506,0.3392,0.6555,0.1177
0.6517,0.3437,0.6574,0.1183
0.6538,0.3477,0.6594,0.1185
0.6553,0.3529,0.6623,0.1176
0.6566,0.3583,0.6657,0.1175
0.6594,0.3628,0.6696,0.1196
0.66,0.3665,0.6711,0.1198
0.6618,0.3703,0.6742,0.1195
0.6631,0.3742,0.6773,0.1176
0.6646,0.3782,0.6792,0.1209
0.6666,0.3824,0.6806,0.12
0.6687,0.3852,0.6839,0.1209
0.6697,0.3886,0.686,0.1193
0.6721,0.3929,0.6877,0.1203
0.6747,0.3971,0.6884,0.1209
0.6758,0.4012,0.6909,0.1215
0.6779,0.4053,0.6926,0.1209
0.6779,0.41,0.6947,0.1219
0.6797,0.4141,0.6964,0.1208
0.6803,0.4175,0.6966,0.1225
0.6815,0.4211,0.6988,0.121
0.6819,0.4247,0.7,0.1221
0.6834,0.4285,0.7013,0.1219
0.6834,0.4321,0.7033,0.1228
0.6848,0.4349,0.7048,0.1226
0.6857,0.4393,0.7054,0.1249
0.687,0.4439,0.7067,0.1239
0.6885,0.4472,0.708,0.1255
0.6902,0.4503,0.7097,0.1244
0.6915,0.4538,0.7101,0.1259
0.6924,0.4573,0.7127,0.1249
0.693,0.4602,0.7136,0.1264
0.6944,0.4626,0.7156,0.1261
0.6956,0.4658,0.7162,0.1264
