Sum_aa1,Diag_aa1,FRSD_aa1,FROZEN_aa1
0.09869999438524246,0.0962,0.0982,0.0931
0.0902,0.1007,0.0966,0.1057
0.1023,0.1035,0.1036,0.1074
0.1025,0.1037,0.1034,0.1112
0.1027,0.1046,0.1033,0.1144
0.1032,0.1054,0.1055,0.1138
0.1048,0.1119,0.13,0.1181
0.1071,0.142,0.3184,0.1209
0.1141,0.2654,0.3114,0.1222
0.1311,0.2823,0.5035,0.1265
0.1801,0.2881,0.3339,0.1338
0.2541,0.1127,0.0944,0.1453
0.3298,0.0974,0.0895,0.155
0.381,0.0974,0.0974,0.1742
0.4202,0.0974,0.0974,0.1889
0.4522,0.0974,0.1112,0.207
0.4805,0.0988,0.1283,0.2223
0.5078,0.1039,0.1515,0.25
0.5343,0.1128,0.2261,0.2701
0.5604,0.1311,0.3575,0.2922
0.5874,0.1664,0.5088,0.3071
0.6109,0.2245,0.6024,0.3252
0.6375,0.3037,0.6698,0.3362
0.6603,0.4055,0.711,0.3483
0.6831,0.5164,0.7376,0.3562
0.7004,0.5741,0.7588,0.3685
0.7105,0.6043,0.7698,0.3808
0.7146,0.6276,0.7739,0.3891
0.7156,0.6523,0.7782,0.398
0.7161,0.6737,0.7793,0.4015
0.7111,0.6878,0.7805,0.411
0.7115,0.7014,0.7822,0.4167
0.7136,0.7113,0.7846,0.4208
0.7144,0.7227,0.7871,0.4262
0.7192,0.7294,0.7887,0.4311
0.72,0.7352,0.7897,0.4379
0.7267,0.7405,0.7922,0.4416
0.732,0.7458,0.7953,0.4395
0.7367,0.7498,0.7995,0.4505
0.7503,0.7546,0.8017,0.4514
0.7512,0.7582,0.8071,0.4525
0.76,0.7621,0.8109,0.4562
0.7581,0.7641,0.8157,0.4663
0.7689,0.7662,0.8216,0.4708
0.7663,0.7676,0.8261,0.4649
0.7745,0.769,0.8303,0.4675
0.7731,0.7717,0.8363,0.4676
0.7793,0.7742,0.8439,0.4758
0.7855,0.777,0.8497,0.4787
0.7903,0.7804,0.8585,0.487
0.7977,0.782,0.8653,0.483
0.7985,0.7845,0.871,0.4858
0.8077,0.7873,0.8764,0.4881
0.8051,0.7913,0.8836,0.5
0.8185,0.7956,0.8886,0.5034
0.81,0.7998,0.8941,0.5071
0.8205,0.8042,0.8971,0.5009
0.8203,0.8099,0.9008,0.4999
0.8291,0.8147,0.9037,0.4966
0.8259,0.8204,0.9069,0.4994
0.8303,0.8243,0.9095,0.5022
0.8289,0.8295,0.9112,0.5231
0.8284,0.8346,0.9135,0.5386
0.8311,0.8388,0.9164,0.5467
0.8343,0.8418,0.918,0.5499
0.8374,0.8473,0.9195,0.5363
0.839,0.8502,0.9211,0.53
0.8423,0.8544,0.9226,0.5269
0.8433,0.8583,0.9238,0.5284
0.8509,0.861,0.925,0.5211
0.8518,0.8638,0.9261,0.524
0.8572,0.8679,0.9268,0.5322
0.8607,0.871,0.9288,0.5422
0.8615,0.8748,0.9295,0.5636
0.8656,0.8779,0.9298,0.5769
0.8646,0.881,0.9311,0.5786
0.8672,0.8825,0.9304,0.5694
0.8664,0.8863,0.9323,0.5558
0.8694,0.8879,0.9319,0.554
0.874,0.8924,0.9333,0.5513
0.8779,0.8927,0.9334,0.5657
0.8811,0.8979,0.9343,0.5776
0.8856,0.8977,0.9349,0.6014
0.889,0.9021,0.935,0.6084
0.8921,0.9032,0.9353,0.616
0.8976,0.9057,0.936,0.6144
0.8982,0.9053,0.938,0.6052
0.9019,0.9082,0.9362,0.5893
0.9019,0.9081,0.938,0.5887
0.9047,0.9095,0.9375,0.593
0.906,0.9106,0.9388,0.5948
0.9078,0.9114,0.9381,0.6125
0.908,0.9131,0.94,0.6224
0.9108,0.9138,0.9396,0.6328
0.9109,0.915,0.9404,0.6344
0.9141,0.9148,0.941,0.6332
0.9144,0.9161,0.9413,0.6303
0.9158,0.9164,0.9418,0.6256
0.9164,0.9167,0.9417,0.6152
0.9179,0.9171,0.943,0.6157
0.9186,0.9191,0.9428,0.6314
0.9204,0.9182,0.9418,0.6405
0.9203,0.9197,0.9437,0.652
0.9223,0.9189,0.9436,0.6564
0.9221,0.9204,0.9439,0.6548
0.9233,0.9194,0.9437,0.6524
0.9234,0.9206,0.9445,0.6507
0.9239,0.9208,0.9444,0.6399
0.9241,0.9217,0.9442,0.6423
0.9254,0.9226,0.9452,0.6404
0.9251,0.9229,0.9452,0.6506
0.9266,0.9234,0.9455,0.6614
0.9259,0.9233,0.9456,0.6668
0.9275,0.9248,0.9461,0.67
0.9271,0.9241,0.9461,0.6697
0.9281,0.9258,0.9467,0.6663
0.9289,0.9244,0.946,0.6612
0.9288,0.927,0.947,0.6561
0.9298,0.9252,0.9474,0.6554
0.9297,0.9273,0.9479,0.6531
0.9304,0.926,0.9475,0.6659
0.9303,0.9281,0.9479,0.6699
0.9307,0.9264,0.9482,0.676
0.931,0.9287,0.9482,0.6747
0.932,0.928,0.9489,0.6764
0.9319,0.9298,0.9479,0.6724
0.9326,0.9297,0.9488,0.673
0.9329,0.9306,0.9493,0.6683
0.9331,0.9311,0.9491,0.6667
0.9339,0.9319,0.9497,0.6657
0.9335,0.9318,0.95,0.6751
0.9346,0.9325,0.9498,0.6788
0.9342,0.9326,0.9503,0.6813
0.9349,0.9331,0.9504,0.6837
0.9342,0.9335,0.9512,0.6812
0.9358,0.9342,0.951,0.6793
0.9359,0.9344,0.9512,0.6801
0.9358,0.935,0.9522,0.6762
0.9366,0.9348,0.9517,0.6775
0.9363,0.9354,0.9524,0.676
0.9374,0.9352,0.9524,0.681
0.9376,0.9362,0.9527,0.6854
0.9383,0.9358,0.9526,0.6871
0.9379,0.9369,0.9536,0.687
