p=0.97,p=0.95,p=0.93
0.0982,0.0982,0.0982
0.0977,0.0979,0.0979
0.0915,0.0915,0.0915
0.0874,0.0875,0.0872
0.0851,0.0852,0.0852
0.0803,0.0811,0.0808
0.0797,0.0803,0.081
0.0731,0.0749,0.0771
0.0699,0.0725,0.0736
0.063,0.0676,0.0726
0.0638,0.0715,0.0768
0.0693,0.076,0.0831
0.08,0.0864,0.0939
0.088,0.0913,0.0978
0.0906,0.0948,0.1029
0.0868,0.0969,0.106
0.0835,0.0951,0.1059
0.0827,0.0966,0.1081
0.0823,0.1009,0.1126
0.086,0.1008,0.1153
0.0879,0.1027,0.1183
0.0881,0.1059,0.1188
0.0856,0.1079,0.1247
0.0854,0.1104,0.1288
0.086,0.1118,0.1304
0.0878,0.1114,0.1287
0.0902,0.1118,0.1295
0.0904,0.1134,0.1323
0.0914,0.1143,0.1369
0.0927,0.117,0.1414
0.0929,0.1195,0.145
0.0929,0.1237,0.1507
0.0931,0.1241,0.1544
0.0938,0.1246,0.1596
0.0943,0.125,0.1614
0.0945,0.1267,0.1611
0.0955,0.1297,0.1621
0.0962,0.1312,0.1642
0.0971,0.132,0.1679
0.0985,0.1333,0.1706
0.0995,0.1363,0.1727
0.1014,0.1387,0.177
0.102,0.1414,0.1801
0.1034,0.1448,0.1856
0.1045,0.1469,0.1898
0.1048,0.1491,0.1943
0.1067,0.1512,0.1993
0.1079,0.1544,0.2042
0.1091,0.1578,0.2092
0.1096,0.1616,0.2135
0.1109,0.1659,0.219
0.1129,0.1692,0.2245
0.1141,0.1731,0.2277
0.1152,0.1761,0.2328
0.1172,0.1786,0.2381
0.1178,0.1812,0.2422
0.1191,0.1836,0.2471
0.1199,0.1866,0.2511
0.1211,0.1894,0.256
0.1217,0.1911,0.261
0.1225,0.1949,0.2648
0.1229,0.1983,0.2694
0.1243,0.2,0.2735
0.1252,0.2022,0.278
0.1259,0.2063,0.2822
0.1281,0.2078,0.2854
0.1285,0.2108,0.2897
0.1294,0.214,0.2944
0.1305,0.2161,0.2991
0.1317,0.2189,0.3036
0.1328,0.2216,0.3087
0.1336,0.2241,0.3126
0.1353,0.2274,0.3172
0.136,0.2305,0.3213
0.1375,0.2345,0.3263
0.139,0.2372,0.3294
0.141,0.2406,0.3339
0.1419,0.2448,0.3405
0.1442,0.2473,0.3449
0.1451,0.2511,0.3495
0.1465,0.2532,0.3535
0.1474,0.2574,0.3584
0.1491,0.2598,0.363
0.1509,0.2632,0.3688
0.1518,0.2671,0.3736
0.1534,0.2702,0.3787
0.1547,0.2737,0.3823
0.1561,0.2784,0.3864
0.1583,0.2814,0.3908
0.1593,0.2845,0.3945
0.1614,0.2872,0.3989
0.1628,0.2909,0.4024
0.1644,0.2944,0.4057
0.1658,0.2989,0.4106
0.1668,0.3014,0.4138
0.1682,0.3047,0.4172
0.1711,0.3092,0.4218
0.1717,0.3133,0.4265
0.1725,0.3169,0.4295
0.1745,0.3193,0.4326
0.176,0.3212,0.4351
0.1789,0.3235,0.4398
0.18,0.3264,0.4438
0.1812,0.3296,0.4461
0.1831,0.3322,0.45
0.1864,0.3345,0.4525
0.188,0.3383,0.4551
0.1888,0.3411,0.4583
0.1904,0.3436,0.4609
0.1924,0.3463,0.4641
0.1936,0.3506,0.4666
0.1957,0.3531,0.4688
0.197,0.356,0.4709
0.1981,0.3612,0.4743
0.1996,0.3649,0.4778
0.2015,0.3672,0.4807
0.2038,0.3707,0.4826
0.206,0.3731,0.4853
0.2072,0.3753,0.4869
0.2085,0.3776,0.4897
0.2101,0.3804,0.4915
0.2113,0.3833,0.493
0.2123,0.3862,0.496
0.214,0.387,0.4985
0.2159,0.3888,0.5015
0.2176,0.3914,0.5037
0.2189,0.3943,0.5067
0.221,0.3966,0.5089
0.2221,0.4,0.5129
0.2246,0.4028,0.5147
0.2267,0.4051,0.5171
0.2291,0.4072,0.5193
0.231,0.4095,0.5215
0.233,0.4114,0.5242
0.2351,0.4132,0.5262
0.2359,0.4148,0.5273
0.2376,0.4173,0.5293
0.239,0.4217,0.5312
0.2423,0.4237,0.5324
0.2435,0.4265,0.5336
0.2444,0.4288,0.5353
0.2464,0.431,0.5355
0.2482,0.4336,0.537
0.2491,0.4356,0.5391
0.2504,0.4376,0.5401
0.2525,0.4396,0.5414
