epoch,loss,accuracy
1,1.9245562235514324,0.094
2,1.9374359448750813,0.1318
3,1.9070674578348796,0.25
4,1.9137100855509441,0.3845
5,1.9058561325073244,0.4909
6,1.8992699305216474,0.5574
7,1.892374324798584,0.5997
8,1.8861000061035156,0.6303
9,1.8789512316385906,0.6537
10,1.8726152737935386,0.674
11,1.8644566853841147,0.6888
12,1.8571616808573406,0.6985
13,1.8504260063171387,0.7046
14,1.8427320162455239,0.711
15,1.8350648880004883,0.7155
16,1.8278030395507814,0.7193
17,1.8206373850504558,0.7255
18,1.8128289540608724,0.7286
19,1.806303628285726,0.7329
20,1.7987684567769369,0.7344
21,1.7921542803446453,0.7379
22,1.7851650555928549,0.7403
