epoch,loss,accuracy
1,2.2243519465128583,0.0959
2,2.3108392079671227,0.2415
3,2.2885749816894534,0.4941
4,2.3031922658284505,0.5622
5,2.276489448547363,0.6542
6,2.297509256998698,0.6724
7,2.2616783142089845,0.6946
8,2.2745280583699548,0.7092
9,2.238486989339193,0.7094
10,2.2493143717447914,0.7158
11,2.219102605183919,0.7159
12,2.226165262858073,0.7208
13,2.202239990234375,0.7204
14,2.2101127624511716,0.7224
15,2.1899760564168296,0.7224
16,2.199986457824707,0.7238
17,2.1863812764485675,0.7205
18,2.1883232116699216,0.7214
19,2.1730425516764327,0.7234
20,2.1745520273844403,0.7252
21,2.1592359542846684,0.7317
22,2.1581002553304036,0.7253
23,2.145870272318522,0.7354
24,2.1433644612630207,0.7356
25,2.136355463663737,0.742
26,2.1324748357137047,0.7397
27,2.122012901306152,0.7553
28,2.1208163579305013,0.755
29,2.1120829900105798,0.7634
30,2.1036571502685546,0.7663
31,2.0980072657267255,0.7774
32,2.0946297327677406,0.7742
33,2.078402328491211,0.7827
34,2.0717493693033853,0.7819
35,2.0613630930582683,0.7915
36,2.063271141052246,0.7873
37,2.054253069559733,0.7938
38,2.06020139058431,0.7949
39,2.055765597025553,0.8018
40,2.063232485453288,0.7984
41,2.053795369466146,0.8071
