Diag,Sum
0.1009,0.1009
0.1007,0.1035
0.1178,0.1408
0.1374,0.1467
0.1438,0.1453
0.0973,0.1514
0.1429,0.1709
0.1352,0.2048
0.1406,0.2327
0.1361,0.2616
0.131,0.2885
0.0986,0.3256
0.1314,0.3545
0.1032,0.3823
0.0983,0.397
0.0985,0.4098
0.0982,0.4132
0.0982,0.4134
0.0982,0.4107
0.0982,0.4198
0.0982,0.4496
0.0982,0.4943
0.0982,0.5407
0.0982,0.5806
0.099,0.6034
0.1281,0.6218
0.1661,0.6362
0.1157,0.647
0.111,0.6578
0.1347,0.6694
0.1769,0.6785
0.2088,0.6837
0.2194,0.6873
0.221,0.6895
0.2309,0.689
0.2411,0.6876
0.2385,0.6858
0.2199,0.6846
0.203,0.6856
0.1893,0.6806
0.1832,0.6809
0.1833,0.6797
0.1846,0.6823
0.1874,0.6743
0.1918,0.6753
0.1985,0.6704
0.2073,0.6711
0.2125,0.6692
0.2202,0.668
0.2331,0.6666
0.2504,0.6672
0.2793,0.6654
0.312,0.6675
0.3419,0.6647
0.366,0.6647
0.3844,0.6641
0.4,0.6667
0.4122,0.6636
0.4197,0.6676
0.4241,0.6655
0.4302,0.6696
0.4347,0.67
0.4415,0.6766
0.4486,0.6772
0.4584,0.6804
0.4689,0.6831
0.4793,0.688
0.4868,0.6903
0.4945,0.693
0.5021,0.694
0.5091,0.6999
0.5153,0.7032
0.5199,0.7068
0.523,0.7106
0.528,0.714
0.5334,0.7166
0.5395,0.7178
0.5469,0.7187
0.5539,0.7147
0.5598,0.7167
0.5673,0.7137
0.5744,0.7145
0.5826,0.714
0.5865,0.7151
0.5902,0.7129
0.5955,0.7154
0.5991,0.714
0.6013,0.7176
0.6032,0.7187
0.6051,0.7182
0.606,0.7182
0.6084,0.7192
0.6112,0.7172
0.6137,0.7185
0.6157,0.7165
0.6166,0.7193
0.619,0.7204
0.6211,0.723
0.6233,0.7233
0.6261,0.7268
0.6285,0.7288
0.6294,0.7304
0.6322,0.7338
0.635,0.7389
0.636,0.7395
0.6372,0.7434
0.6391,0.7429
0.6418,0.7469
0.6433,0.7467
0.6455,0.75
0.6482,0.7534
0.6484,0.7548
0.649,0.7565
0.6508,0.7586
0.6509,0.7594
0.6523,0.7615
0.6535,0.7633
0.6545,0.7646
0.6551,0.7671
0.6563,0.7679
0.6564,0.7694
0.6576,0.7694
0.6577,0.7721
0.6585,0.7709
0.6596,0.7726
0.6604,0.7699
0.6604,0.7738
0.661,0.7714
0.6608,0.7733
0.6612,0.7711
0.6618,0.7744
0.6629,0.7696
0.6633,0.7732
0.6637,0.7695
0.6644,0.774
0.6646,0.7718
0.6636,0.7739
0.6636,0.772
0.6642,0.772
0.6651,0.7701
0.6651,0.7717
0.6656,0.7714
0.6659,0.7723
0.6665,0.7726
0.6668,0.7734
0.6667,0.7743
0.6677,0.7775
0.668,0.7742
0.668,0.7781
0.6685,0.7765
0.6688,0.7808
0.6687,0.7809
0.6692,0.7835
0.6696,0.7848
0.6707,0.7871
0.6706,0.7879
0.6706,0.7899
0.6713,0.7908
0.6717,0.7927
0.6726,0.7926
0.6729,0.7941
0.6729,0.7961
0.6739,0.7968
0.6739,0.7964
0.6746,0.797
0.6735,0.7989
0.6743,0.7983
0.6742,0.8018
0.6753,0.7984
0.6749,0.8012
0.6759,0.799
0.676,0.8011
0.6758,0.7982
0.6761,0.7996
0.6764,0.7977
0.6772,0.7985
0.6775,0.7964
0.678,0.7976
0.6784,0.7941
0.6782,0.7964
0.6782,0.7918
0.6784,0.7938
0.6797,0.7904
0.6804,0.7925
0.6806,0.7895
0.6811,0.7923
0.6816,0.791
0.6814,0.7914
0.6809,0.7902
0.6813,0.7924
0.6815,0.7917
0.6814,0.7918
0.6821,0.7928
0.6828,0.7933
0.6828,0.794
0.684,0.7949
0.6844,0.796
0.6848,0.797
0.6855,0.7981
0.6863,0.7991
0.6866,0.7991
0.687,0.8005
0.6866,0.8002
0.687,0.8016
0.6876,0.8034
0.688,0.806
0.6888,0.8081
0.6894,0.81
0.6893,0.8106
0.6903,0.8113
0.6913,0.8115
0.6917,0.8109
0.6915,0.8118
0.6919,0.8113
0.6916,0.8115
0.6916,0.8099
0.6913,0.8105
0.6918,0.8086
0.6919,0.8096
0.6924,0.8081
0.6935,0.8091
0.6935,0.8084
0.6936,0.8111
0.6941,0.8096
0.6945,0.8101
0.6948,0.8073
0.6958,0.8094
0.6962,0.8054
0.6971,0.8079
0.6977,0.8052
0.6976,0.8045
0.698,0.8027
0.6991,0.8046
0.6994,0.7995
0.6996,0.8016
0.7003,0.7998
0.7014,0.7999
0.7016,0.8008
0.7024,0.8017
0.702,0.802
0.7021,0.802
0.7026,0.8039
