Epoch,Train_Loss,Train_Accuracy,Test_Loss,Test_Accuracy
1,1.7415286769037661,36.076,1.5500938045978545,43.55
2,1.3234902637084123,52.268,1.225525621175766,56.44
3,1.1360485038489028,59.504,1.1932340621948243,59.68
4,0.9930772067945631,64.938,0.9718512892723083,67.23
5,0.8767178839124987,69.236,0.8962086141109467,69.37
6,0.7864200927107535,72.452,0.7242413759231567,74.68
7,0.718590854150255,74.992,0.8967899394035339,71.07
8,0.6735929208795738,76.672,0.6412483471632003,79.03
9,0.6289803807235435,78.232,0.54757818877697,81.15
10,0.6009794320444317,79.238,0.6466283020377159,78.02
11,0.5732276919095413,80.18,0.5802331620454788,80.27
12,0.55313744218758,80.85,0.6486095422506333,79.31
13,0.5291106784740067,81.746,0.46985524356365205,84.24
14,0.5157802827522883,82.136,0.47686482191085816,83.76
15,0.4973029495809999,82.888,0.4615513497591019,84.29
16,0.48321829991572346,83.358,0.4458265218138695,85.31
17,0.476166255105182,83.566,0.5138466465473175,83.45
18,0.467123144079962,83.9,0.45838966697454453,84.62
19,0.4579448170216797,84.13,0.39383733198046683,86.44
20,0.45085934620074297,84.338,0.42471116572618484,85.93
21,0.44102356920156943,84.812,0.41599860683083534,86.27
22,0.43729967416247445,84.844,0.43069627687335016,85.62
23,0.432056593353791,84.936,0.39648778915405275,86.96
24,0.42752797802543396,85.108,0.39177236109972,86.12
25,0.4168233183186377,85.476,0.39427802816033364,86.57
26,0.41550375345875235,85.668,0.3806027916073799,87.08
27,0.41125563038584523,85.664,0.43280603870749473,85.64
28,0.41072124844926705,85.872,0.3686996541917324,87.95
29,0.39456083314955387,86.426,0.35209455475211143,88.05
30,0.3973906118699047,86.292,0.3847119657695293,87.37
31,0.40145770374618833,86.156,0.36283087700605393,87.62
32,0.39251716038607576,86.484,0.37720513343811035,87.54
33,0.387779397199221,86.692,0.4299498637020588,86.03
34,0.3872639554388383,86.646,0.3536509969830513,87.92
35,0.3815088031237083,86.884,0.427324665337801,85.71
36,0.38363513617259465,86.824,0.37773279190063475,87.4
37,0.3837161199058718,86.73,0.3387264531850815,88.61
38,0.37404474173970237,87.048,0.39354321628808975,86.93
39,0.3799788303616102,86.836,0.3573272116482258,87.89
40,0.373153158999465,87.062,0.3962628945708275,86.92
41,0.3680358190289544,87.244,0.3452464261651039,88.39
42,0.36370806281676377,87.338,0.37408828422427176,87.69
43,0.3656614635835218,87.258,0.38519577294588087,87.26
44,0.3573318222904449,87.404,0.3743369184434414,88.08
45,0.3644335801567873,87.382,0.35366181448101996,88.23
46,0.36267732746918185,87.31,0.3397418148815632,88.67
47,0.36081463635882455,87.51,0.4084210003912449,86.66
48,0.3614680249139171,87.486,0.37473945438861844,87.43
49,0.35337524859191816,87.674,0.3714545577764511,87.83
50,0.35012477975519724,87.962,0.32953361466526987,89.2
51,0.2762852834389948,90.388,0.2553439895063639,91.56
52,0.2433525790148379,91.624,0.2515963174402714,91.81
53,0.23099557197917148,91.946,0.24812070094048977,91.81
54,0.2208220022528068,92.326,0.2491592200100422,92.0
55,0.21492453868431813,92.552,0.24118404887616635,92.22
56,0.20937226815601748,92.644,0.24326094485819338,92.02
57,0.20482940844181555,92.856,0.24411276906728743,92.26
58,0.20029854978365666,93.112,0.24054561592638493,92.2
59,0.1945571640644537,93.244,0.23915069602429867,92.38
60,0.1906046937493717,93.34,0.24399276167154313,92.16
61,0.18605282773142276,93.5,0.2381436163187027,92.37
62,0.18617643200604203,93.406,0.23833733059465886,92.38
63,0.18346816251802323,93.552,0.23743106998503208,92.34
64,0.17749283013060269,93.924,0.2392919133603573,92.44
65,0.17760305495365805,93.842,0.2415262645483017,92.74
66,0.17285363002658805,93.956,0.24815154306590556,92.13
67,0.17173385259021273,93.978,0.24793319948017598,92.57
68,0.1685680479687803,94.084,0.24114233300089835,92.58
69,0.16848380087167406,94.146,0.23762514181435107,92.74
70,0.16874601244164245,94.138,0.23642894096672534,92.78
71,0.16098266639901548,94.284,0.24039224222302435,92.74
72,0.16239287853812623,94.382,0.23514700621366502,92.81
73,0.1623459684917384,94.298,0.23799380473792553,92.67
74,0.15299175731132708,94.674,0.2385544602572918,92.79
75,0.15622859879794632,94.57,0.2417369757592678,92.62
76,0.1465005477428284,94.984,0.23552467934787275,92.9
77,0.14119046392953,95.11,0.2325844568759203,92.96
78,0.14113538393088618,95.056,0.23431804079562427,92.96
79,0.14031480687201175,95.116,0.23131481431424616,93.06
80,0.140313190810592,95.128,0.23128901183605194,93.02
81,0.14046056370448579,95.146,0.23482290018349886,93.0
82,0.13786051257530138,95.23,0.23387723833322524,93.09
83,0.13968214399331366,95.096,0.23152010545134544,93.08
84,0.1401113188537338,95.178,0.23299466140568256,93.1
85,0.1373491909288232,95.114,0.23277776632457972,93.06
86,0.13380911928194258,95.32,0.23375742617994547,93.06
87,0.13255057311462015,95.29,0.2336558546125889,93.1
88,0.13444916218938424,95.312,0.2318791678547859,93.15
89,0.1366361268722188,95.212,0.23377869930118322,93.04
90,0.13535397434059313,95.308,0.2340021077170968,93.03
91,0.13498144806422235,95.33,0.23537702083587647,93.01
92,0.13079929448035368,95.394,0.234803594276309,93.01
93,0.13385431292226246,95.314,0.23663462962955237,93.04
94,0.13301609794768837,95.322,0.23563864249736072,93.04
95,0.13155091710179054,95.366,0.23656013898551465,92.98
96,0.12852669579674825,95.534,0.23805955316871405,93.0
97,0.12801414300375583,95.424,0.23853953015059232,92.93
98,0.1342400670947169,95.358,0.2343229516968131,93.08
99,0.13185440464054837,95.464,0.2365524347871542,92.97
100,0.1309927610485145,95.416,0.23684973172843457,93.08
