epoch,train_loss,train_accuracy,test_accuracy
1,0.40716803345680236,0.37814,0.3867
2,0.3501799184322357,0.4664,0.4673
3,0.31397061371803275,0.53118,0.5257
4,0.28723717465400705,0.58972,0.5817
5,0.26200685188770295,0.63726,0.6231
6,0.2398232419490815,0.67936,0.6599
7,0.21795973784923556,0.70216,0.6722
8,0.19811164600849152,0.74538,0.6939
9,0.1778051505565644,0.78128,0.7143
10,0.16115063097476956,0.81286,0.7193
11,0.14390442757606506,0.84838,0.7377
12,0.12745451164245608,0.87986,0.7427
13,0.11075734127163886,0.8933,0.7303
14,0.09571775888204573,0.91734,0.7254
15,0.07827222061753272,0.94196,0.7377
16,0.06605335220098493,0.9437,0.7327
17,0.03649053719043731,0.98236,0.7458
18,0.015127073597162963,0.9966,0.7501
19,0.005637977210059761,0.99942,0.7513
20,0.002188095327094197,0.99998,0.7495
