epoch,train_loss,train_accuracy,test_accuracy
1,0.4239885836601259,0.36018,0.3648
2,0.3595261960029603,0.45352,0.4553
3,0.3257182208061219,0.51626,0.5062
4,0.2992306807994842,0.57474,0.5702
5,0.2748571578979492,0.61948,0.6079
6,0.24967629208564754,0.65828,0.6428
7,0.22502747416496277,0.70764,0.6758
8,0.20454853885173793,0.75014,0.7058
9,0.18780947487354277,0.78446,0.7256
10,0.1669241189002991,0.8095,0.741
11,0.14549654258489614,0.85086,0.7521
12,0.1303518641471863,0.87682,0.7565
13,0.11367226506471631,0.90252,0.763
14,0.1037964963912964,0.91714,0.759
15,0.07646430043578144,0.9405,0.7525
16,0.06360862287282944,0.96742,0.7641
17,0.052378250136971484,0.98156,0.7642
18,0.0367327902905643,0.99198,0.7603
19,0.0110969019845128,0.9974,0.7604
20,0.0032699781989678745,0.99988,0.7641
