Diag_l2,Diag_a2
1.7896995544433594,0.2566
1.4307712316513062,0.4202
1.1449021816253662,0.4571
1.1211946666240693,0.4476
2.950790596008301,0.4891
2.13866810798645,0.4391
3.735895204544067,0.436
2.4032039523124693,0.4523
2.8290338277816773,0.5191
1.6772974669933318,0.5128
2.491248059272766,0.5773
1.6934077113866806,0.6813
2.5630090832710266,0.7044
2.1619789242744445,0.7483
2.6029628038406374,0.7219
2.4643166303634643,0.7612
2.104049253463745,0.7315
2.337691080570221,0.7385
1.480223423242569,0.77
2.498356580734253,0.7201
0.8196042478084564,0.7835
2.8031158685684203,0.7425
0.6665792554616928,0.8144
2.3953112840652464,0.7811
0.6954374045133591,0.8075
2.238158392906189,0.8036
0.8748783975839615,0.8067
1.7685763955116272,0.8052
0.885399678349495,0.8125
1.6995864272117616,0.7928
1.0897551983594895,0.8188
1.541890037059784,0.8127
1.2673031210899353,0.8207
1.6099911212921143,0.8272
1.4866468131542205,0.8089
1.4989728808403016,0.8367
1.505509114265442,0.7969
1.2124561727046967,0.8402
1.4321243703365325,0.7972
0.9066946923732757,0.8411
1.2209046363830567,0.8147
0.7036526918411254,0.8501
1.0020810902118682,0.8339
0.5950657963752747,0.8557
0.9122471451759339,0.8458
0.5246555149555207,0.8537
0.9270740985870362,0.8509
0.53115673661232,0.8488
1.0060909390449524,0.8538
0.6358354598283767,0.8443
1.064463746547699,0.8571
0.7895615667104721,0.844
1.1028745770454407,0.8559
0.9330286175012589,0.8503
1.0870680689811707,0.8528
1.0029101431369782,0.8575
0.9891588985919952,0.8568
0.9617688894271851,0.861
0.8541447341442108,0.8636
0.8448564052581787,0.8645
0.7397817254066468,0.8684
0.7250842869281768,0.8661
0.6519603788852691,0.8726
0.6238735973834991,0.8672
0.5865882813930512,0.8749
0.5624598145484925,0.8692
0.5331311762332916,0.8775
0.5353114306926727,0.8738
0.5044484972953797,0.8777
0.5448080569505691,0.877
0.5012021541595459,0.8771
0.5663578599691391,0.8795
0.5133982747793198,0.8773
0.5876474291086197,0.8819
0.5329547822475433,0.8775
0.6046746969223022,0.8821
0.544575646519661,0.8778
0.604116079211235,0.882
0.5481375992298126,0.8781
0.5871055841445922,0.8827
0.5296667248010636,0.8798
0.554365074634552,0.8852
0.5069798499345779,0.8814
0.5164211988449097,0.886
0.4875152677297592,0.8834
0.47825758457183837,0.8864
0.47319976389408114,0.8865
0.44897506237030027,0.8886
0.4710149556398392,0.8888
0.43905839025974275,0.8899
0.4764661431312561,0.8901
0.44336303770542146,0.8895
0.4860562771558762,0.8916
0.4518042832612991,0.89
0.4960351586341858,0.8914
0.45804652869701384,0.8904
0.4949966102838516,0.892
0.4571267873048782,0.8909
0.48654674291610717,0.8925
0.45143505930900574,0.8921
0.4684321016073227,0.8937
0.43993866741657256,0.8931
0.4414644777774811,0.8944
0.4281632572412491,0.8946
0.41738486886024473,0.8957
0.42179801762104036,0.8964
0.4030447542667389,0.8968
0.42170987725257875,0.8972
0.40142250061035156,0.8978
0.4272630035877228,0.8972
0.4035751849412918,0.8979
0.43353618681430817,0.8985
0.4123146414756775,0.8985
