Diag_l1,Diag_a1
2.25911169052124,0.1009
2.177587890625,0.1008
2.0637049436569215,0.0994
1.82954683303833,0.1044
2.163535499572754,0.1702
2.45264413356781,0.2742
2.7184831619262697,0.3435
2.7096613883972167,0.3655
2.4949742794036864,0.3777
2.215076780319214,0.3849
2.0158706426620485,0.4041
1.9432034969329834,0.4594
1.960320496559143,0.5426
2.0231570482254027,0.5812
2.0948077201843263,0.601
2.1471553802490235,0.6092
2.1569300651550294,0.6106
2.1324305534362793,0.6141
2.097158932685852,0.6138
2.0690016031265257,0.616
2.0449615001678465,0.6193
2.018732714653015,0.6293
1.9951452255249023,0.6345
1.976197600364685,0.6392
1.9652610301971436,0.6419
1.953794527053833,0.6448
1.947638463973999,0.6473
1.9392685174942017,0.6499
1.9267809629440307,0.6528
1.9134432077407837,0.6567
1.8977977514266968,0.6587
1.8764921426773071,0.6609
1.857443904876709,0.6638
1.8417540073394776,0.6676
1.8310545921325683,0.6715
1.8236351013183594,0.6742
1.80972740650177,0.6765
1.7968661308288574,0.6789
1.7859183073043823,0.6829
1.7670013904571533,0.6863
1.7526875019073487,0.6884
1.7384184360504151,0.6906
1.7332392692565919,0.693
1.725968337059021,0.6974
1.721243691444397,0.6983
1.729748797416687,0.7016
1.7128394365310669,0.7037
1.7278438568115235,0.7017
1.7086132526397706,0.707
1.7236014604568481,0.7035
1.7197604656219483,0.7114
1.7218437671661377,0.7047
1.7406456232070924,0.7126
1.7170396327972413,0.7074
1.7633821964263916,0.7121
1.7065916776657104,0.7086
1.7476152181625366,0.7093
1.6760478258132934,0.7072
1.683525514602661,0.7116
1.6253012657165526,0.712
1.6030033111572266,0.7221
1.5711602210998534,0.7204
1.5360665559768676,0.729
1.5262500524520874,0.7267
1.4909642696380616,0.7334
1.485449194908142,0.7296
1.4623855113983155,0.7379
1.451421856880188,0.7345
1.4479107856750488,0.7445
1.426032257080078,0.7408
1.4431074619293214,0.75
1.407148504257202,0.7467
1.4396856069564818,0.7544
1.3925122261047362,0.752
1.441108024120331,0.7601
1.3756284832954406,0.7575
1.4364441156387329,0.764
1.364292323589325,0.7625
1.4274335622787475,0.7671
1.3471479058265685,0.7666
1.4202470183372498,0.7692
1.3365070819854736,0.7688
1.4005269289016724,0.7704
1.3189952731132508,0.7713
1.3790780305862427,0.7703
1.3023880243301391,0.7738
1.3498953104019165,0.7726
1.2824799180030824,0.7753
1.3273794293403625,0.7748
1.255831503868103,0.7778
1.3050082445144653,0.7756
1.2335014939308167,0.7811
1.2772842049598694,0.7777
1.205244243144989,0.7831
1.2503981471061707,0.7808
1.18094722032547,0.7874
1.2283746719360351,0.7844
1.1602010250091552,0.7911
1.203556489944458,0.7864
1.1438668608665465,0.7928
1.1767094254493713,0.7887
1.1323862075805664,0.7956
1.1564507603645324,0.7911
1.1257124304771424,0.7989
1.1301623463630677,0.7926
1.1285342812538146,0.8011
1.1174839615821839,0.7947
1.1412891745567322,0.8026
1.1074423909187316,0.8003
1.1638893842697144,0.8043
1.109476053714752,0.8028
1.2013832807540894,0.8046
1.1180747509002686,0.8039
1.2359450101852416,0.8033
