Diag_l0,Diag_a0
2.3527412891387938,0.1009
2.2594279289245605,0.1009
2.1115557670593263,0.2719
1.8824607372283935,0.6059
1.8572344779968262,0.6973
2.0202780246734617,0.6948
2.054864692687988,0.6757
1.849782609939575,0.6856
1.6513944149017334,0.7068
1.539469051361084,0.7148
1.5822953701019287,0.7626
1.6526794910430909,0.7379
1.7057304382324219,0.7645
1.7044126749038697,0.7272
1.5177061557769775,0.7181
1.3713041543960571,0.7562
1.2692986726760864,0.7713
1.1976398706436158,0.7731
1.1800162076950074,0.7853
1.159306025505066,0.7926
1.159491813182831,0.7979
1.191282367706299,0.8106
1.2245877385139465,0.8054
1.273307490348816,0.8014
1.2987102031707765,0.7783
1.1987579107284545,0.8039
1.0886428952217102,0.784
0.9855933427810669,0.8175
0.9295451402664184,0.8138
0.8935864567756653,0.8362
0.8683403372764588,0.8248
0.8610720157623291,0.8437
0.8771384596824646,0.8339
0.9036997556686401,0.8557
0.9381610870361328,0.8442
0.9829094767570495,0.8615
0.9837805271148682,0.8512
0.9660028457641602,0.8583
0.9319413304328918,0.868
0.9008301377296448,0.841
0.8613444924354553,0.8814
0.820262348651886,0.8473
0.7835893511772156,0.8786
0.7665370821952819,0.8578
0.7650012493133544,0.8889
0.7609420537948608,0.8773
0.7679354190826416,0.8925
0.7720769047737122,0.8825
0.7481912016868592,0.8998
0.7365524649620057,0.89
0.7426745295524597,0.9005
0.7419642925262451,0.8951
0.7424191832542419,0.901
0.7494062542915344,0.9019
0.7435950517654419,0.8925
0.7224152565002442,0.9127
0.700333321094513,0.8844
0.6548949003219604,0.9131
0.6250495553016663,0.9024
0.6008690118789672,0.915
0.5837498664855957,0.9102
0.5615540862083435,0.9207
0.5556601285934448,0.9176
0.552282190322876,0.9241
0.5569199442863464,0.9222
0.569050645828247,0.9276
0.5870968222618103,0.9263
0.6036335229873657,0.9275
0.6184855818748474,0.9295
0.6422922492027283,0.925
0.6505747199058532,0.9279
0.6572247743606567,0.9228
0.6339822292327881,0.929
0.635574996471405,0.9264
0.6108605146408081,0.9295
0.6055620908737183,0.9271
0.5876280307769776,0.9315
0.586290431022644,0.9294
0.5994884312152863,0.933
0.5995297431945801,0.9293
0.6145500302314758,0.9324
0.603463888168335,0.9307
0.5887032270431518,0.9293
0.5528216123580932,0.9309
0.5274452567100525,0.931
0.4973234236240387,0.9323
0.481304919719696,0.9326
0.4667733728885651,0.9338
0.4562229156494141,0.9353
0.44974796175956727,0.9359
0.4481688439846039,0.9368
0.4405263900756836,0.9377
0.4487384080886841,0.9385
0.44989498257637023,0.9393
0.4639828622341156,0.9405
0.4763924181461334,0.9398
0.49002641439437866,0.9417
0.5108663320541382,0.9412
0.5171680152416229,0.941
0.516892158985138,0.9397
0.5049079656600952,0.941
0.4861194133758545,0.9403
0.4570038735866547,0.9409
0.43573575615882876,0.9409
0.419389808177948,0.9424
0.41335862278938296,0.9423
0.40433159470558167,0.9441
0.40232675671577456,0.944
0.40110971331596373,0.9443
0.39834786057472227,0.9448
0.4039837300777435,0.9445
0.40199193358421326,0.9462
0.4004374504089355,0.9448
0.3996305108070374,0.9469
0.3872281968593597,0.9448
0.38847150206565856,0.947
0.3796753764152527,0.9453
0.3815882921218872,0.9471
0.386802875995636,0.9463
0.3826854467391968,0.9479
0.3848427176475525,0.9469
0.39201773405075074,0.9467
0.3902940273284912,0.9479
0.38952687978744505,0.9467
0.3879153072834015,0.9477
0.3873751699924469,0.947
0.38888365030288696,0.9487
0.3860719621181488,0.9483
0.3892973482608795,0.9486
0.3929097831249237,0.9476
0.39393746852874756,0.9488
0.3956739604473114,0.9481
0.39902892112731936,0.9483
0.39506099820137025,0.9486
0.3846629083156586,0.9482
0.3768992841243744,0.9493
0.3683189690113068,0.9489
0.3588496148586273,0.9496
0.35404815077781676,0.9496
0.3507623612880707,0.9506
0.3451656699180603,0.9505
0.3451421856880188,0.9504
0.3410923182964325,0.9516
