Sum_l1,Sum_a1
1.7503891706466674,0.179
1.8803070545196534,0.2727
2.034537744522095,0.3863
2.1817229747772218,0.4644
2.2313425540924072,0.5055
2.1838254928588867,0.5572
2.0819568395614625,0.5949
1.9648119449615478,0.6223
1.8773651123046875,0.6397
1.8152210712432861,0.6571
1.7802524328231812,0.6699
1.7428679466247559,0.6823
1.7204992771148682,0.6897
1.7110880851745605,0.6944
1.704188847541809,0.7013
1.686497688293457,0.7058
1.6677990198135375,0.7128
1.655410099029541,0.7164
1.6349582433700562,0.7196
1.614439845085144,0.7221
1.5882230520248413,0.7257
1.5702990770339966,0.7283
1.5449719190597535,0.7301
1.524498200416565,0.7319
1.4975807189941406,0.7346
1.487853741645813,0.737
1.4668071746826172,0.7397
1.451548194885254,0.7415
1.42982976436615,0.7432
1.418539047241211,0.7456
1.3995656013488769,0.7468
1.3865217208862304,0.7485
1.364676260948181,0.751
1.356966233253479,0.7524
1.3379842519760132,0.7545
1.3278112888336182,0.7566
1.306003737449646,0.7575
1.299971842765808,0.7589
1.2810768604278564,0.7601
1.2740577459335327,0.7619
1.2506822228431702,0.7638
1.2452269554138184,0.7654
1.225549578666687,0.7669
1.2209233403205872,0.7679
1.199729561805725,0.7692
1.1947010636329651,0.7705
1.1772992253303527,0.771
1.1747888207435608,0.773
1.154391586780548,0.7739
1.152758038043976,0.7751
1.1319387316703797,0.7754
1.1311470031738282,0.7768
1.112810528278351,0.777
1.1105859756469727,0.7789
1.0922849297523498,0.7802
1.0887002229690552,0.7816
1.0734706163406371,0.7819
1.0709043622016907,0.7837
1.0559567570686341,0.7837
1.051078999042511,0.7855
1.0395096778869628,0.7854
1.0330785512924194,0.7863
1.0236570477485656,0.7873
1.0164377808570861,0.7878
1.0105231881141663,0.7886
0.9977299809455872,0.7888
0.9951234221458435,0.7893
0.9814594268798829,0.7892
0.9816272258758545,0.7897
0.9638356924057007,0.7905
0.9701305985450744,0.7907
0.9482172846794128,0.791
0.9549257040023804,0.7919
0.9333215117454529,0.7929
0.9422245502471924,0.793
0.9215559363365173,0.7941
0.9275357365608216,0.7939
0.9067894697189331,0.7949
0.9153768062591553,0.795
0.8972583532333374,0.7953
0.9026225447654724,0.7958
0.8868454575538636,0.7962
0.8888205289840698,0.7969
0.8754891276359558,0.7973
0.8748510479927063,0.7976
0.868598484992981,0.7984
0.861291515827179,0.7987
0.8615917086601257,0.7993
0.846885597705841,0.7994
0.8561944603919983,0.8008
0.8326781511306762,0.7997
0.8498751640319824,0.8012
0.8176064133644104,0.8007
0.8477781355381012,0.8023
0.8050699353218078,0.8014
0.8451891481876374,0.8034
0.7919455528259277,0.8018
0.8439796268939972,0.8042
0.780950540304184,0.8024
0.842583703994751,0.8049
0.7709392547607422,0.803
0.8426637709140777,0.8064
0.7625952899456024,0.8038
0.837915450334549,0.807
0.7561146974563598,0.8034
0.8334744513034821,0.8077
0.7517424762248993,0.8037
0.8234612047672272,0.8087
0.744546914100647,0.8038
0.8127881824970246,0.809
0.738533365726471,0.8054
0.7992225766181946,0.8106
0.7325647592544555,0.8071
0.7854006111621856,0.8113
0.7290104985237121,0.8081
0.7693990111351013,0.8118
0.7224734365940094,0.8095
0.7561994969844819,0.8128
0.715767914056778,0.8107
0.7424773395061492,0.8135
0.7110715508460999,0.8118
0.7327802121639252,0.8135
0.7049500823020936,0.8125
0.7224444806575775,0.8135
0.698203980922699,0.8135
0.7151831746101379,0.814
0.6944108366966247,0.8149
0.7067799687385559,0.816
0.6878459870815277,0.8163
0.7004688262939454,0.8164
0.6820436954498291,0.8174
0.6956510186195374,0.8173
0.6763438820838928,0.8178
0.6904422342777252,0.818
0.6717206597328186,0.8181
0.682589316368103,0.819
0.6655919075012207,0.8188
0.6775776982307434,0.8198
0.6619392931461334,0.8199
0.6713381946086884,0.8202
0.6579426765441895,0.8204
0.6633355796337128,0.8209
0.6538799464702606,0.8211
0.6591669321060181,0.8212
0.6513189673423767,0.8218
0.6496658980846405,0.8213
0.6534428834915161,0.8221
0.6405600428581237,0.8218
0.6546884417533875,0.8225
0.6317511975765229,0.8225
0.6618408322334289,0.823
0.6175985038280487,0.823
0.6720605611801147,0.8238
0.6056553840637207,0.8247
0.6857478559017182,0.8244
0.5934114336967469,0.8239
0.7037576735019684,0.8255
0.5838996469974518,0.8215
0.7236610651016235,0.8248
0.5757147133350372,0.8209
0.7432340621948242,0.8237
0.5714301347732544,0.8194
0.7550869822502136,0.8228
0.5689393639564514,0.8174
0.7594927310943603,0.8217
0.5677219271659851,0.8162
0.7604542970657349,0.8217
0.5667150259017945,0.8167
0.7613686621189117,0.8216
0.5679843366146088,0.8189
0.7578129053115845,0.8232
0.5709430873394012,0.8209
0.7471218109130859,0.8241
0.5743165373802185,0.8213
0.7307213962078094,0.8253
0.5777931392192841,0.8227
0.7070454835891724,0.8265
0.5758654713630676,0.8233
0.6758878707885743,0.8269
0.575406289100647,0.823
0.6478457927703858,0.8283
0.5725976705551148,0.8241
0.6192374110221863,0.8291
0.5691592872142792,0.8261
0.5969286262989044,0.83
0.5678999841213226,0.8285
0.5815673708915711,0.8308
0.5668911814689637,0.8297
0.5703129768371582,0.8315
0.5643801927566529,0.8311
0.5650332629680633,0.832
0.562406474351883,0.8321
0.5606350064277649,0.8326
0.5599056422710419,0.8323
0.5591841101646423,0.8329
0.5563454270362854,0.8326
0.5548603534698486,0.8335
0.5543651878833771,0.8332
0.5515999794006348,0.8333
0.5506993532180786,0.8335
0.5488423764705658,0.8338
0.5461036801338196,0.8336
0.547152829170227,0.8341
0.5419850170612335,0.8339
0.540267813205719,0.8342
0.5412370443344117,0.835
0.5411465167999268,0.8343
0.5374848902225494,0.8348
0.5387744784355164,0.8347
0.5330026626586915,0.8346
0.5366915225982666,0.8351
0.5315771102905273,0.8353
0.5341893374919892,0.8359
0.5285216987133026,0.8362
0.5299516975879669,0.8364
0.5237819671630859,0.8367
0.5308720946311951,0.8365
0.5201376438140869,0.8364
0.5332772314548493,0.8368
0.5143481254577636,0.8364
0.5339122712612152,0.8368
0.5091939866542816,0.8368
0.5367457807064057,0.8376
0.5035336911678314,0.8369
0.5409689605236053,0.8377
0.49916104078292844,0.8375
0.546589982509613,0.839
0.4931423425674438,0.8382
0.554551750421524,0.8392
0.4872469902038574,0.8382
0.5642055690288543,0.8394
0.4809049069881439,0.8385
0.5733803451061249,0.8391
0.47895948886871337,0.8383
0.5810999274253845,0.8393
0.47680128216743467,0.8369
0.5874894618988037,0.8397
0.4759584665298462,0.8368
0.5923960268497467,0.8385
0.4748199641704559,0.8354
0.5940493941307068,0.8381
0.4800694525241852,0.8349
0.5922149956226349,0.8385
0.4826830983161926,0.835
0.5889484524726868,0.8382
0.48781303465366366,0.8351
0.5827382266521454,0.8388
0.48833065629005434,0.836
0.5781676530838012,0.8387
0.4903937131166458,0.8363
0.5673101305961609,0.8392
0.48599889874458313,0.8369
0.5576782643795013,0.8397
0.48160241842269896,0.8379
0.5465236127376556,0.8402
0.47771870493888857,0.84
0.5332234680652619,0.841
0.46901615858078005,0.8407
0.5208958566188813,0.842
0.46452646851539614,0.8419
0.5109488725662231,0.8424
0.4635599136352539,0.8418
0.5028387427330017,0.8426
0.4622119188308716,0.8422
0.4940869092941284,0.8432
0.4628731727600098,0.8433
0.4904117286205292,0.8441
0.4617698282003403,0.8443
0.49093925952911377,0.8442
0.45947450697422026,0.8444
0.49092319011688235,0.8448
0.45613890290260317,0.8449
0.4892993986606598,0.8446
0.45319520235061644,0.8447
0.4895542234182358,0.8449
0.4500605583190918,0.8451
0.4898605227470398,0.8448
0.4482053130865097,0.8451
0.4898263216018677,0.845
0.443704628944397,0.8446
0.4914171278476715,0.8451
0.4406202346086502,0.8449
0.4944730937480927,0.8452
0.4373909533023834,0.8443
0.49710065722465513,0.8458
0.4345159888267517,0.8445
0.4999084621667862,0.846
0.4315288245677948,0.8444
0.5050916761159897,0.8466
0.430650007724762,0.844
0.5080629259347915,0.8453
0.427551206946373,0.8444
0.5102755784988403,0.8458
0.42514957785606383,0.8439
0.5119919091463089,0.8454
0.4255188643932343,0.8435
0.5145363688468934,0.8454
0.42625807523727416,0.8433
0.5099682033061981,0.8456
0.42438632547855376,0.8436
0.5092258006334305,0.8455
0.422875303030014,0.8435
0.5073297381401062,0.845
0.42041854858398436,0.8438
0.5020688652992249,0.8463
0.42228125035762787,0.8444
0.4981455862522125,0.8462
0.42197145223617555,0.8448
0.4924683034420013,0.8472
0.42313404083251954,0.8447
0.48736744225025175,0.8474
