Sum_l2,Sum_a2
1.0457284212112428,0.3563
2.6288355350494386,0.3957
1.4475770235061645,0.435
2.6043346166610717,0.395
1.7018884778022767,0.401
2.7619266271591187,0.3954
2.1489448308944703,0.4257
2.2192752838134764,0.4874
2.394243049621582,0.5816
2.472141170501709,0.594
2.7242069005966187,0.6415
2.239247727394104,0.6982
2.7506118059158324,0.6437
1.5891674637794495,0.7238
2.8326053619384766,0.6735
1.1886311531066895,0.7488
2.6769200801849364,0.7318
0.8110232681035996,0.7786
2.6014760732650757,0.7507
0.8164540827274323,0.7754
2.0416560888290407,0.7786
0.8019088447093964,0.778
1.7412980556488038,0.7891
0.8747384428977967,0.7987
1.506485152244568,0.7986
1.0564397037029267,0.8069
1.4576794147491454,0.7916
1.3260453402996064,0.8102
1.4440411925315857,0.8036
1.6310211420059204,0.8046
1.377437698841095,0.8129
1.7911840438842774,0.7906
1.193200832605362,0.8114
1.8989632368087768,0.782
0.9875495165586472,0.8106
1.9023873329162597,0.7796
0.8706134259700775,0.8142
1.795613408088684,0.7848
0.8198487788438797,0.8199
1.4680891394615174,0.7995
0.8710502356290817,0.8274
1.143738329410553,0.8125
0.9077348291873932,0.8346
0.9024022281169891,0.8244
0.9602074772119522,0.8374
0.7606515049934387,0.8287
1.0202583372592926,0.8397
0.7270156562328338,0.8356
1.0467979788780213,0.836
0.733498004078865,0.8438
1.0201220512390137,0.8346
0.7423690646886826,0.848
0.9494306445121765,0.8396
0.7191850662231445,0.8517
0.8873241424560547,0.8476
0.690095967054367,0.8522
0.7987823367118836,0.8539
0.6670897245407105,0.853
0.6943929433822632,0.8589
0.6633680552244187,0.8563
0.6014690518379211,0.8612
0.6910130172967911,0.8619
0.5626140505075454,0.8606
0.7392952740192413,0.8664
0.5966777414083481,0.859
0.7814281344413757,0.8695
0.6699276298284531,0.8592
0.8095211267471314,0.8686
0.7379416257143021,0.8618
0.816615355014801,0.8661
0.7617950201034546,0.8655
0.8170269191265106,0.8649
0.7480494022369385,0.8688
0.7858295738697052,0.8667
0.7040454685688019,0.8696
0.7253814756870269,0.8705
0.6422584027051925,0.8696
0.6410448849201202,0.8739
0.578882023692131,0.872
0.5573650479316712,0.8775
0.5314523190259933,0.8742
0.4940269410610199,0.8781
0.5026998311281204,0.8789
0.46016965210437777,0.8803
0.5061257034540176,0.8808
0.45593845248222353,0.88
0.5113175928592681,0.8827
0.4659234881401062,0.8796
0.5265813440084457,0.8844
0.4771762639284134,0.8801
0.5303312361240387,0.8842
0.4882941395044327,0.8808
0.5244676619768143,0.8853
0.48833175003528595,0.8813
0.5075998395681381,0.8855
0.4825811505317688,0.8821
0.4816627621650696,0.8863
0.468514084815979,0.8832
0.4557466357946396,0.887
0.4510177165269852,0.885
0.4273857295513153,0.8879
0.4378230094909668,0.8878
0.4139625638723373,0.889
0.43732363879680636,0.89
