Sum_l0,Sum_a0
2.3119920253753663,0.1009
2.194065713882446,0.1032
2.102350187301636,0.2672
2.0052146911621094,0.4861
1.9125818967819215,0.6412
1.8197808504104613,0.6762
1.7438569068908691,0.7151
1.6909623861312866,0.7499
1.6455713748931884,0.7503
1.585205578804016,0.7639
1.51975359916687,0.7742
1.5106260061264039,0.7747
1.5255385875701903,0.7869
1.5574926853179931,0.7645
1.5890904664993286,0.7817
1.608207893371582,0.7385
1.6566904067993165,0.7848
1.710391879081726,0.7318
1.5815863132476806,0.7714
1.4771755695343018,0.7522
1.4049843788146972,0.7658
1.3301436185836792,0.7705
1.2458149909973144,0.7549
1.1584791898727418,0.7979
1.0741946935653686,0.7628
1.0099729776382447,0.7892
0.9521990299224854,0.7814
0.9187277317047119,0.8049
0.886816930770874,0.8015
0.8755881428718567,0.829
0.8636687636375427,0.8231
0.8645482659339905,0.8374
0.8778614163398742,0.8411
0.8845808506011963,0.8448
0.900829303264618,0.8649
0.9090252637863159,0.8418
0.9391772627830506,0.8831
0.9450051307678222,0.8395
0.9381948351860047,0.8757
0.9260767817497253,0.8555
0.9239561557769775,0.8711
0.8934203863143921,0.8685
0.8692078351974487,0.8719
0.8185738682746887,0.8793
0.7895476341247558,0.8825
0.782110047340393,0.8883
0.7772480607032776,0.889
0.7885052323341369,0.898
0.7766867876052856,0.8783
0.784124207496643,0.9047
0.7736319541931153,0.8678
0.7468824505805969,0.9028
0.7156428456306457,0.8898
0.685638427734375,0.9042
0.6641555428504944,0.9004
0.6456661462783814,0.9108
0.6298059463500977,0.9113
0.6252860069274903,0.9155
0.6303747057914734,0.9182
0.628983449935913,0.918
0.645953369140625,0.9227
0.6455526351928711,0.9164
0.6578063607215882,0.9237
0.644624650478363,0.9141
0.6225538372993469,0.9237
0.6053334951400757,0.9198
0.586972177028656,0.9252
0.577453863620758,0.9235
0.5696096777915954,0.9261
0.5600966811180115,0.9258
0.5586501955986023,0.9285
0.5690911293029786,0.9301
0.5758633017539978,0.9281
0.5845276355743408,0.9307
0.5806146621704101,0.9276
0.5874396920204162,0.9302
0.570352840423584,0.9277
0.5543715953826904,0.9305
0.5405148506164551,0.9293
0.5294918060302735,0.9312
0.5196787297725678,0.9312
0.5135214328765869,0.932
0.5095519065856934,0.9336
0.5178977310657501,0.9331
0.5211484253406524,0.9348
0.5277225792407989,0.933
0.5317633032798768,0.9354
0.5377878904342651,0.9345
0.5461024403572082,0.9345
0.5422923862934113,0.9348
0.5301590263843536,0.9347
0.5218123495578766,0.9354
0.5081849932670593,0.9357
0.49160303473472594,0.937
0.4807541728019714,0.9366
0.46847370862960813,0.9375
0.4659971833229065,0.9375
0.4550314962863922,0.9386
0.45001747012138366,0.9385
0.4386331498622894,0.9385
0.4365413963794708,0.94
0.4323761880397797,0.9388
0.4332555174827576,0.9411
0.43145317435264585,0.9399
0.43577222228050233,0.9427
0.44248206615448,0.9413
0.44673524498939515,0.9418
0.45269282460212706,0.942
0.45682252049446104,0.9423
0.45782737135887147,0.9422
0.4485220670700073,0.942
0.4358590543270111,0.9427
0.4271397054195404,0.943
0.4179262280464172,0.9433
0.40897879004478455,0.9435
0.4070331573486328,0.9441
0.40519230961799624,0.9441
0.4041539132595062,0.9456
0.4079310059547424,0.9455
0.41269527077674867,0.9457
0.41537978053092955,0.9443
0.4108304798603058,0.9463
0.40461905002593995,0.9453
0.3959868848323822,0.9472
0.3939399778842926,0.9455
0.3839542806148529,0.9475
0.3826278746128082,0.9461
0.38429813385009765,0.947
0.38300933241844176,0.9469
0.3828706979751587,0.9473
0.3821627140045166,0.9478
0.38066005110740664,0.9479
0.3865412652492523,0.9486
0.38506328463554385,0.9476
0.3775136888027191,0.9486
0.3769912481307983,0.948
0.3676676392555237,0.9487
0.3720584809780121,0.9484
0.36839295029640196,0.9489
0.37132708430290223,0.9497
0.36697362661361693,0.9489
0.37412657737731936,0.9489
0.3736925542354584,0.9491
0.3703704595565796,0.9501
0.3752647876739502,0.9498
0.37171255350112914,0.951
0.3756280243396759,0.9494
0.3728258728981018,0.9507
0.38189170360565183,0.9505
0.37705920934677123,0.9511
0.386019766330719,0.9505
0.3862203896045685,0.9511
0.3915295660495758,0.9506
0.39044572710990905,0.9505
0.3903239548206329,0.9513
0.39469125866889954,0.9509
0.387974351644516,0.9514
0.38635131120681765,0.951
0.3840646266937256,0.952
0.39134358763694765,0.9516
0.38691202402114866,0.9518
0.3899855732917786,0.9508
0.3816062033176422,0.9523
0.3818500816822052,0.9501
0.3690703809261322,0.9525
0.36110852360725404,0.9515
0.3503357470035553,0.9529
0.3496581733226776,0.9522
0.3362795889377594,0.9534
0.3363680481910706,0.9538
0.334182995557785,0.9532
0.3334142744541168,0.955
0.3332061767578125,0.9538
0.3308864593505859,0.9551
0.3430796504020691,0.9543
0.3489312767982483,0.9551
0.37183099389076235,0.9545
0.3910074830055237,0.9547
0.40705623626708987,0.9548
0.41169663071632384,0.9533
0.4186377048492432,0.9535
0.41160675287246706,0.9528
0.3922096014022827,0.9531
0.3579501509666443,0.9523
0.33954293131828306,0.9535
0.3246313393115997,0.9526
0.3069070756435394,0.9543
0.3088218629360199,0.954
0.30425532460212706,0.955
0.299788898229599,0.9559
0.29742894172668455,0.9555
0.29784024357795713,0.9569
0.2936050474643707,0.9555
0.2970981001853943,0.957
0.29286293387413026,0.9563
0.2913611352443695,0.9574
0.28911876678466797,0.9567
0.28458433747291567,0.9577
0.2841315805912018,0.9572
0.28677049875259397,0.9582
0.28701614737510683,0.9577
0.2859259307384491,0.958
0.2857004165649414,0.9586
0.28562262654304504,0.9582
0.2862831711769104,0.959
0.2815339922904968,0.9585
0.28736186027526855,0.9594
0.2844931423664093,0.9589
0.28475884795188905,0.96
0.2868298292160034,0.96
0.28388388752937316,0.9606
0.28442335724830625,0.9607
0.2819494366645813,0.9606
0.2866001069545746,0.9615
0.2894544005393982,0.9607
0.28929168581962583,0.9616
0.291259354352951,0.9607
0.29673452377319337,0.9618
0.30272102952003477,0.9607
0.3096198201179504,0.9611
0.3151742935180664,0.9609
0.3264962315559387,0.9615
0.33267301321029663,0.9603
