epoch,loss,accuracy
1,2.175576734542847,0.1593
2,2.208537244796753,0.2638
3,2.0366314729054764,0.4632
4,2.1461142857869464,0.5729
5,2.1175217787424723,0.6343
6,2.0841262499491373,0.6608
7,2.11303277015686,0.673
8,2.0942232608795166,0.677
9,2.090970341364543,0.6852
10,2.094124921162923,0.6902
11,2.0877257506052653,0.6822
12,2.081025743484497,0.6833
13,2.084517033894857,0.6739
14,2.077660655975342,0.6823
15,2.0729411760965983,0.6858
16,2.0721603552500407,0.6903
17,2.0650402386983235,0.6896
18,2.0659527619679765,0.677
19,2.0647513548533127,0.6859
20,2.061525901158651,0.6832
21,2.054049189885457,0.6881
22,2.052296574910482,0.6983
23,2.0540209929148356,0.6991
