Diag,Sum,FRSD,FROZEN
0.9148,0.9057,0.9142,0.3616
0.913,0.9061,0.9138,0.3646
0.9149,0.9056,0.9145,0.3628
0.9137,0.9062,0.9145,0.3646
0.9151,0.906,0.9147,0.3634
0.9133,0.9065,0.9144,0.3653
0.9153,0.9057,0.9148,0.3636
0.9137,0.9066,0.9149,0.3653
0.9151,0.9062,0.9148,0.3637
0.9137,0.9065,0.9151,0.3665
0.9152,0.9062,0.915,0.3649
0.9144,0.9068,0.9149,0.3656
0.916,0.9065,0.9153,0.3647
0.9143,0.9066,0.9151,0.3667
0.916,0.9069,0.9147,0.3657
0.9142,0.9072,0.915,0.3671
0.9163,0.907,0.9153,0.3666
0.9133,0.9074,0.9154,0.3678
0.917,0.9072,0.9158,0.366
0.9137,0.9074,0.9148,0.3684
0.917,0.9077,0.9156,0.3681
0.9134,0.9076,0.9151,0.3685
0.9169,0.9077,0.916,0.368
0.9143,0.9077,0.9158,0.3694
0.917,0.9076,0.9158,0.3682
0.9138,0.908,0.9151,0.3711
0.9179,0.9083,0.9153,0.3692
0.9141,0.9082,0.9156,0.3707
0.9171,0.9081,0.9153,0.37
0.9137,0.9083,0.9156,0.3713
0.9177,0.9085,0.916,0.3705
0.9143,0.9087,0.9162,0.372
0.9173,0.9086,0.9156,0.3705
0.9145,0.9085,0.9156,0.3719
0.9174,0.9085,0.9159,0.3717
0.9148,0.9087,0.9159,0.373
0.9174,0.9089,0.9169,0.3713
0.9151,0.9088,0.9158,0.3731
0.918,0.9089,0.9164,0.3728
0.9152,0.9087,0.9165,0.3736
0.9177,0.9089,0.9166,0.373
0.9148,0.9088,0.9158,0.3732
0.9176,0.9093,0.9167,0.3739
0.9151,0.9092,0.9161,0.3745
0.918,0.9091,0.9165,0.3742
0.9156,0.9091,0.9168,0.3746
0.9175,0.9094,0.9163,0.3754
0.9162,0.9095,0.9163,0.3762
0.9177,0.9092,0.9169,0.3751
0.916,0.9095,0.9165,0.3754
0.9176,0.9094,0.9165,0.3751
0.9172,0.91,0.9171,0.3761
0.918,0.9096,0.9165,0.3766
0.9164,0.9097,0.9168,0.3765
0.9182,0.9101,0.9177,0.3759
0.9176,0.9103,0.9177,0.3771
0.9185,0.9099,0.9179,0.3774
0.9179,0.9101,0.917,0.3774
0.9187,0.9107,0.9185,0.3779
0.9181,0.9103,0.9174,0.3792
0.9193,0.9104,0.9181,0.3772
0.9184,0.9102,0.9172,0.3791
0.919,0.9104,0.9179,0.3786
0.9183,0.9104,0.9176,0.379
0.9194,0.9108,0.9182,0.3789
0.9183,0.9103,0.9175,0.3813
0.9193,0.9105,0.9182,0.3799
0.9188,0.9102,0.9177,0.3808
0.9193,0.9102,0.9179,0.3795
0.9181,0.9101,0.9178,0.3817
0.9194,0.9111,0.9197,0.3809
0.9187,0.9103,0.9181,0.3823
0.9191,0.9109,0.9192,0.38
0.9185,0.9102,0.9182,0.3825
0.9194,0.9111,0.9192,0.3808
0.9193,0.9103,0.9184,0.3824
0.9193,0.9113,0.9194,0.3824
0.9181,0.9102,0.9176,0.3844
0.9198,0.9113,0.9191,0.3831
0.9186,0.9103,0.9184,0.3838
0.9194,0.9112,0.9192,0.3833
0.9185,0.9101,0.9178,0.3843
0.9196,0.9115,0.9189,0.3838
0.919,0.9101,0.9193,0.3848
0.9199,0.9116,0.9195,0.3843
0.9187,0.9101,0.9182,0.3862
0.9196,0.912,0.9196,0.3849
0.9191,0.9108,0.9185,0.3857
0.9203,0.9118,0.92,0.3845
0.9188,0.9104,0.9185,0.3872
0.9205,0.9118,0.9196,0.3855
0.9193,0.9113,0.9186,0.3863
0.9208,0.912,0.9202,0.3853
0.9194,0.9109,0.9191,0.3871
0.9209,0.9118,0.9195,0.3856
0.9199,0.9105,0.9194,0.3873
0.9207,0.912,0.9205,0.3866
0.9195,0.9102,0.9192,0.388
0.921,0.9123,0.9202,0.3867
0.92,0.9106,0.9196,0.389
0.9213,0.9123,0.9204,0.3868
0.9199,0.9105,0.9199,0.3882
0.9214,0.9122,0.9205,0.3879
0.9199,0.9113,0.9201,0.3891
0.9209,0.9126,0.9205,0.3871
0.9199,0.911,0.92,0.3898
0.921,0.912,0.9205,0.3878
0.9203,0.9116,0.9204,0.3905
0.921,0.9126,0.9205,0.3893
0.9201,0.9114,0.9207,0.3903
0.9211,0.9129,0.9212,0.3892
0.9202,0.9121,0.9205,0.3915
0.9211,0.9134,0.9211,0.3891
0.92,0.9123,0.9209,0.3924
0.9216,0.9132,0.921,0.3903
0.9204,0.9121,0.9208,0.3926
0.9213,0.9134,0.9206,0.3905
0.9201,0.9121,0.9209,0.393
0.9214,0.9133,0.9211,0.3918
0.9204,0.9122,0.921,0.3927
0.9216,0.9136,0.9215,0.3918
0.9203,0.9118,0.9213,0.3931
0.9217,0.9137,0.9213,0.3922
0.9206,0.9126,0.9215,0.3948
0.9217,0.9138,0.9218,0.3933
0.9208,0.9123,0.9207,0.3947
0.9217,0.9141,0.9219,0.3938
0.9216,0.913,0.9214,0.3959
0.9217,0.9138,0.9221,0.3942
0.9218,0.9127,0.9212,0.3951
0.922,0.914,0.9221,0.3952
0.9221,0.9131,0.9215,0.3956
0.9232,0.914,0.9219,0.3955
0.9221,0.913,0.9212,0.3957
0.9229,0.914,0.9219,0.3958
0.9226,0.9133,0.9218,0.3963
0.9232,0.9143,0.9218,0.3964
0.9227,0.9127,0.9217,0.3963
0.9236,0.9142,0.922,0.3965
0.9227,0.9132,0.9219,0.3968
0.9236,0.9144,0.9213,0.3966
0.923,0.9131,0.9214,0.3978
0.9237,0.9144,0.9216,0.3975
0.9236,0.9135,0.9216,0.3991
0.9234,0.9145,0.9223,0.3978
0.9238,0.9134,0.9216,0.3983
0.9235,0.9143,0.922,0.3988
0.9237,0.9137,0.9218,0.3995
0.9241,0.9146,0.9223,0.3988
0.9245,0.9135,0.9219,0.3995
0.9238,0.9145,0.9226,0.3992
0.9247,0.9137,0.9225,0.3991
0.9238,0.9146,0.9222,0.3997
0.9243,0.9133,0.9212,0.4005
0.9237,0.9147,0.9226,0.4005
0.9246,0.9136,0.9214,0.401
0.9239,0.9147,0.9224,0.4006
0.9248,0.9137,0.9219,0.4009
0.9239,0.9154,0.9223,0.4011
0.9243,0.9138,0.9218,0.4012
0.9245,0.9152,0.9225,0.4012
0.925,0.9139,0.9219,0.4028
0.9247,0.915,0.9224,0.4018
0.9251,0.9135,0.9221,0.4021
0.9249,0.9151,0.9233,0.4023
0.9254,0.9137,0.9224,0.4026
0.9249,0.915,0.9228,0.4026
0.9257,0.9141,0.9225,0.4035
0.9248,0.9154,0.9236,0.4041
0.926,0.9141,0.9228,0.4027
0.9253,0.9152,0.9236,0.4044
0.926,0.9149,0.9229,0.4032
0.9254,0.915,0.9237,0.4035
0.9261,0.9141,0.9224,0.4046
0.9253,0.9153,0.9234,0.4044
0.9263,0.9145,0.9226,0.4044
0.9256,0.9153,0.9239,0.4053
0.9264,0.9141,0.9227,0.4052
