Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,3.089081518799066,2.303953518867493,0.1
2,2.1774524414539345,2.3079308390617372,0.1
3,2.3449309694767,2.317634825706482,0.1002
4,2.17933612510562,2.3185100817680357,0.134
5,2.206682028174401,2.3082279539108277,0.1
6,2.194446533024311,2.315601849555969,0.1419
7,2.188406511247158,2.30930823802948,0.1
8,2.1726575395464893,2.3084677958488466,0.1
9,2.18154016405344,2.2875831580162047,0.1407
10,2.154902255833149,2.2907517457008364,0.1347
11,2.1475680068135263,2.2986982440948487,0.1207
12,2.1467608690261843,2.2913015270233155,0.1
13,2.218754318952561,2.287524778842926,0.1424
14,2.1504456222057344,2.2901010704040528,0.1
15,2.1370443335175517,2.284368140697479,0.1406
16,2.1420378041267396,2.2948398876190184,0.1472
17,2.1367294433712964,2.2986189675331117,0.1
18,2.1332522019743925,2.2775947427749634,0.1492
19,2.1181878516077997,2.284064688682556,0.1
20,2.0840807189047332,2.281641664505005,0.1
21,2.121382109820843,2.284994626045227,0.1499
22,2.0607324734330175,2.2836713409423828,0.1528
23,2.1068432775139803,2.286974985599518,0.1561
24,2.1691096284985543,2.305437343120575,0.1013
25,2.11516766577959,2.314738428592682,0.1
26,2.1573351824283598,2.2863236713409423,0.1
27,2.0840010212361806,2.2865322113037108,0.1
28,2.0653795331716536,2.2675460314750673,0.1492
29,2.08365572810173,2.2903457927703856,0.1592
30,2.156497845947742,2.3251111030578615,0.1
31,2.099198474586011,2.2821615505218507,0.1
32,2.0963487553596503,2.2666555881500243,0.1595
33,2.1025026595592498,2.2709500288963316,0.158
34,2.0943421268463136,2.2837238097190857,0.1
35,2.0817460000514987,2.279206030368805,0.1566
36,2.093832579404116,2.2843124055862427,0.1001
37,2.1091568101942544,2.29087726354599,0.1
38,2.106394706964493,2.2870114922523497,0.1
39,2.115527936220169,2.291555309295654,0.1113
40,2.0884564501047134,2.2986891436576844,0.1
41,2.0909324771165845,2.2996390008926393,0.1
42,2.0859488680958753,2.323377685546875,0.1
43,2.094996812343597,2.3136175870895386,0.1
44,2.080107999145985,2.32107980966568,0.1
45,2.0847162519395352,2.340161499977112,0.1
46,2.073684102296829,2.3193201756477357,0.1
47,2.079613243341446,2.3432889866828917,0.1
