Sum_aa1,Diag_aa1,FRSD_aa1,FROZEN_aa1
0.7829,0.6709,0.6889,0.3818
0.7862,0.6715,0.6889,0.3703
0.7859,0.6714,0.6898,0.3796
0.7886,0.6714,0.6905,0.371
0.7879,0.6708,0.691,0.3834
0.7892,0.6699,0.6913,0.3751
0.7892,0.6704,0.6903,0.3875
0.7908,0.6713,0.6911,0.3747
0.7888,0.6711,0.6906,0.3841
0.7907,0.6712,0.6917,0.3739
0.7889,0.6725,0.6928,0.387
0.7902,0.6718,0.6924,0.3789
0.7901,0.6719,0.6933,0.3884
0.79,0.6723,0.6936,0.3823
0.7903,0.6725,0.6939,0.3898
0.7909,0.6726,0.694,0.3818
0.7907,0.6726,0.6943,0.3872
0.7902,0.6731,0.6947,0.3824
0.7894,0.6738,0.6949,0.3901
0.7899,0.6746,0.6952,0.3854
0.7909,0.6741,0.6948,0.3951
0.7892,0.676,0.6943,0.3869
0.7906,0.6762,0.6946,0.3924
0.7871,0.6762,0.6945,0.3848
0.7895,0.6774,0.6952,0.3909
0.7858,0.6774,0.6951,0.3886
0.7873,0.6783,0.6951,0.395
0.7845,0.6781,0.6947,0.3891
0.7887,0.6788,0.6958,0.3953
0.7847,0.6792,0.6969,0.3879
0.7889,0.6796,0.6972,0.3929
0.7857,0.6797,0.6977,0.3893
0.7894,0.6802,0.6975,0.3956
0.7863,0.6805,0.6983,0.3919
0.7889,0.6807,0.6983,0.3955
0.7864,0.6807,0.6982,0.3914
0.7891,0.6817,0.6972,0.3972
0.7891,0.6817,0.6976,0.3917
0.7901,0.6816,0.6982,0.3951
0.7924,0.6819,0.6976,0.3948
0.7928,0.6814,0.6987,0.4
0.7935,0.6826,0.699,0.3958
0.7949,0.6826,0.6987,0.3992
0.7961,0.6835,0.6991,0.3957
0.7965,0.6838,0.6999,0.3992
0.8005,0.6841,0.6991,0.3962
0.8008,0.6845,0.7004,0.3995
0.8024,0.685,0.7011,0.3966
0.8038,0.6856,0.7007,0.4012
0.8054,0.6865,0.7013,0.3975
0.8049,0.6868,0.7008,0.3999
0.8051,0.6869,0.7009,0.399
0.8072,0.6872,0.7013,0.403
0.8057,0.6878,0.7016,0.3995
0.8079,0.6873,0.7025,0.402
0.808,0.6876,0.7031,0.399
0.808,0.6882,0.7033,0.4024
0.8074,0.6887,0.7042,0.3997
0.8073,0.689,0.7043,0.4031
0.8073,0.6899,0.704,0.4006
0.8089,0.6903,0.7048,0.4056
0.8082,0.6907,0.704,0.3997
0.8089,0.6905,0.7047,0.4033
0.8074,0.691,0.7053,0.4014
0.808,0.6916,0.7055,0.4058
0.8078,0.6916,0.7057,0.4028
0.8059,0.6925,0.7049,0.4056
0.8053,0.6931,0.7061,0.4043
0.8032,0.6937,0.7059,0.4066
0.8027,0.6941,0.7074,0.4036
0.8013,0.6941,0.7079,0.4058
0.8037,0.6941,0.7069,0.4036
0.8,0.6947,0.7076,0.4068
0.8026,0.6953,0.7074,0.4043
0.7995,0.6955,0.7074,0.4065
0.8015,0.6964,0.7084,0.4064
0.7976,0.6971,0.7078,0.4078
0.8014,0.6972,0.7081,0.4057
0.7973,0.6974,0.708,0.4066
0.7994,0.6975,0.7088,0.4055
0.7969,0.6979,0.7086,0.4069
0.7989,0.6981,0.7089,0.4063
0.7964,0.6979,0.7099,0.4083
0.8002,0.698,0.7094,0.4076
0.7972,0.6987,0.7102,0.4073
0.7987,0.6988,0.7103,0.4066
0.7949,0.699,0.7104,0.408
0.7974,0.6993,0.7109,0.4072
0.7946,0.6995,0.7112,0.4081
0.8004,0.7002,0.7106,0.408
0.7969,0.7003,0.7112,0.4089
0.8005,0.7007,0.7122,0.4078
0.798,0.7009,0.7122,0.4074
0.8026,0.7013,0.7115,0.4083
0.8005,0.7021,0.7125,0.4074
0.8023,0.7025,0.7129,0.4096
0.8005,0.7026,0.7134,0.4122
0.8035,0.703,0.7134,0.4095
0.804,0.704,0.7139,0.407
0.8062,0.7045,0.7143,0.4087
0.8061,0.7044,0.7142,0.4086
0.8079,0.7046,0.7144,0.4105
0.8087,0.705,0.7142,0.408
0.8091,0.7054,0.7151,0.4098
0.8093,0.7055,0.7159,0.4102
0.8093,0.7062,0.7162,0.4105
0.8106,0.7069,0.7164,0.4063
0.8101,0.7074,0.7171,0.4132
0.8127,0.7076,0.7175,0.4091
0.8099,0.7078,0.7168,0.4117
0.811,0.7087,0.7183,0.4098
0.8098,0.7092,0.7176,0.4114
0.8103,0.7094,0.7176,0.4084
0.8069,0.7095,0.7191,0.4122
0.8087,0.7093,0.719,0.4103
0.8069,0.71,0.7195,0.4136
0.8064,0.7101,0.7205,0.4107
0.8035,0.7112,0.7212,0.412
0.8051,0.711,0.7216,0.4087
0.8026,0.7112,0.7225,0.4132
0.8047,0.7114,0.7222,0.4105
0.8034,0.7119,0.722,0.4132
0.8051,0.7124,0.7219,0.4106
0.805,0.7123,0.7223,0.4134
0.8058,0.7123,0.7216,0.4095
0.8054,0.7124,0.7227,0.4137
0.8056,0.7127,0.7226,0.4078
0.806,0.713,0.7248,0.4145
0.8076,0.7133,0.7252,0.4108
0.8068,0.7137,0.7258,0.4144
0.8065,0.7145,0.7253,0.4105
0.8082,0.7149,0.7257,0.4142
0.8069,0.7148,0.7251,0.41
0.8078,0.7154,0.7268,0.4147
0.8074,0.7158,0.7274,0.4101
0.8089,0.7165,0.7284,0.4139
0.8092,0.7168,0.7289,0.4113
0.809,0.7167,0.7288,0.4146
0.8088,0.7168,0.7294,0.4101
0.8087,0.7173,0.7295,0.4156
0.8081,0.7172,0.7297,0.4111
0.8074,0.7176,0.7298,0.4165
0.8095,0.7181,0.7301,0.4115
0.8072,0.7184,0.7312,0.4167
0.8108,0.7186,0.7312,0.4111
0.8078,0.719,0.7314,0.4151
0.81,0.7184,0.7305,0.4113
0.8064,0.7189,0.7304,0.4155
0.8099,0.7188,0.7315,0.4122
0.8075,0.7194,0.732,0.4168
0.8101,0.7193,0.732,0.4118
0.8086,0.7193,0.7321,0.4158
0.8094,0.7194,0.7327,0.4104
0.8069,0.7197,0.7327,0.4163
0.8105,0.7195,0.7334,0.4107
0.8085,0.7203,0.7324,0.4177
0.8111,0.7203,0.7333,0.4122
0.8104,0.7206,0.7346,0.4166
0.8105,0.7212,0.7341,0.4107
0.8109,0.7218,0.7352,0.4166
0.8113,0.7215,0.7358,0.4122
0.8104,0.7232,0.7365,0.4175
0.8105,0.7236,0.7364,0.4127
0.8106,0.7236,0.7359,0.4173
0.8119,0.7239,0.7374,0.4121
0.8121,0.7239,0.7367,0.417
0.8119,0.7246,0.7375,0.4101
0.8104,0.7245,0.7381,0.4184
0.8109,0.7251,0.738,0.4136
0.8101,0.7253,0.7384,0.4165
0.8111,0.7256,0.7394,0.4104
0.8101,0.7264,0.7393,0.4182
0.811,0.7272,0.7391,0.4135
0.8101,0.7273,0.7404,0.4178
0.8104,0.7277,0.7401,0.4113
0.8094,0.728,0.7416,0.4187
0.8105,0.7282,0.7419,0.413
0.8104,0.7285,0.7421,0.4185
0.8101,0.7291,0.7438,0.4105
0.8128,0.7293,0.7436,0.4185
0.8103,0.7298,0.7434,0.4134
0.813,0.7302,0.7446,0.4192
0.8122,0.7306,0.7456,0.4121
0.8135,0.7301,0.7453,0.4209
0.8118,0.7308,0.7465,0.4123
0.8149,0.7316,0.7467,0.42
0.8126,0.7316,0.7472,0.41
0.8137,0.732,0.7478,0.4199
0.8149,0.7324,0.748,0.4118
0.8151,0.7329,0.7484,0.4202
0.8166,0.7335,0.7492,0.4119
0.8177,0.7335,0.7498,0.4194
0.8185,0.7335,0.7495,0.4112
0.8204,0.7338,0.7507,0.4193
0.8211,0.734,0.7503,0.4112
0.8212,0.7344,0.7508,0.4194
0.8218,0.7349,0.7508,0.412
0.8208,0.7349,0.7527,0.4189
0.8217,0.7354,0.7525,0.4099
0.8201,0.7349,0.7527,0.4209
0.8213,0.7354,0.7531,0.4111
0.8194,0.7356,0.7535,0.4211
0.8196,0.7357,0.7531,0.4096
0.8177,0.7361,0.7535,0.4206
0.8181,0.7369,0.7547,0.4113
0.8165,0.7374,0.755,0.4215
0.8175,0.7377,0.756,0.4107
0.8144,0.7381,0.7564,0.4216
0.8158,0.7384,0.757,0.4119
0.8148,0.7386,0.7563,0.4213
0.8168,0.7391,0.757,0.4093
0.8141,0.7393,0.7571,0.4211
0.8154,0.7397,0.757,0.411
0.8153,0.74,0.7578,0.4205
0.8149,0.74,0.7574,0.4107
0.815,0.7399,0.7584,0.4212
0.8144,0.7406,0.7582,0.4111
0.8154,0.7406,0.7592,0.4223
0.8155,0.7413,0.7587,0.4105
0.8171,0.7412,0.7585,0.4222
0.8176,0.7414,0.759,0.4119
0.819,0.7418,0.7588,0.4212
0.8177,0.7419,0.7592,0.4097
0.8197,0.7427,0.7598,0.4222
0.8165,0.7429,0.7611,0.4116
0.8209,0.7436,0.7618,0.4214
0.8178,0.7437,0.7616,0.4099
0.819,0.7441,0.7624,0.422
0.8179,0.7443,0.7627,0.4115
0.8193,0.7445,0.7629,0.4207
0.8177,0.7452,0.7632,0.4083
0.8195,0.7455,0.7646,0.4213
0.8173,0.7454,0.7647,0.4129
0.8187,0.7458,0.7647,0.4219
0.8169,0.746,0.7651,0.4093
0.8209,0.7468,0.7663,0.4224
0.8178,0.7472,0.7661,0.4136
0.8217,0.7474,0.7672,0.4228
0.8177,0.7473,0.7673,0.4095
0.8222,0.7474,0.7674,0.4222
0.8192,0.7486,0.768,0.4112
0.8221,0.749,0.7689,0.4219
0.8189,0.7498,0.7679,0.409
0.8216,0.7504,0.7693,0.4231
0.8195,0.7504,0.7681,0.4101
0.8219,0.7514,0.7695,0.4217
0.8201,0.752,0.7685,0.4091
0.8205,0.7521,0.7697,0.4228
0.8189,0.7524,0.7697,0.413
0.82,0.753,0.7714,0.423
0.8183,0.7531,0.7718,0.4087
0.8202,0.7536,0.7727,0.4225
0.8175,0.7535,0.7724,0.4107
0.819,0.754,0.7724,0.4221
0.8173,0.7543,0.7722,0.4097
0.8196,0.7548,0.7724,0.4222
0.8179,0.7555,0.7717,0.4111
0.8177,0.7557,0.7725,0.4229
0.8181,0.7561,0.7726,0.4087
0.8166,0.7565,0.7731,0.4227
0.817,0.757,0.7734,0.4089
0.8181,0.7573,0.7748,0.4223
0.8181,0.7573,0.7749,0.4107
0.8187,0.7572,0.7753,0.4235
0.8189,0.7578,0.777,0.4115
0.8211,0.758,0.777,0.4217
0.8209,0.7588,0.7776,0.4098
0.823,0.7596,0.7772,0.4222
0.8224,0.7597,0.7781,0.4101
0.8228,0.7599,0.7779,0.4232
0.8221,0.76,0.7778,0.4104
0.8245,0.7601,0.7776,0.4232
0.822,0.7604,0.7788,0.4095
0.8254,0.7605,0.7797,0.4217
0.8229,0.7604,0.7788,0.4093
0.8256,0.7611,0.7796,0.4224
0.8235,0.7621,0.7803,0.4109
0.8257,0.7628,0.7802,0.4226
0.8223,0.7632,0.7799,0.4085
0.8244,0.7633,0.7797,0.4222
0.8215,0.7635,0.7798,0.4109
0.8241,0.7642,0.7804,0.422
0.8224,0.7644,0.7798,0.4074
0.8258,0.7642,0.7818,0.4234
0.8232,0.7655,0.7822,0.4111
0.8268,0.7663,0.7833,0.4229
0.8241,0.7665,0.7836,0.4075
0.8278,0.7667,0.7841,0.4229
0.8259,0.7671,0.7833,0.4084
0.8286,0.7671,0.7839,0.4243
0.8274,0.7668,0.7845,0.4125
0.8298,0.7672,0.7856,0.4223
0.8283,0.7674,0.7857,0.4083
0.8309,0.7676,0.7864,0.4227
0.8281,0.768,0.7865,0.4088
0.8306,0.7683,0.7873,0.4216
0.8291,0.7685,0.7864,0.4106
0.8309,0.7689,0.7874,0.4225
0.8298,0.7693,0.7869,0.4108
0.8305,0.7694,0.7876,0.4223
0.8302,0.7699,0.7874,0.41
0.8304,0.7701,0.788,0.4224
0.8293,0.7702,0.7879,0.4107
0.8281,0.7704,0.7895,0.4229
0.8266,0.7707,0.7888,0.4071
0.827,0.7717,0.7897,0.423
0.8268,0.7717,0.7891,0.4101
0.8278,0.7717,0.7902,0.4232
0.8265,0.7723,0.79,0.4089
0.827,0.7721,0.7909,0.4239
0.8259,0.7727,0.79,0.4096
0.8273,0.7729,0.7913,0.4234
0.8258,0.7734,0.7903,0.4087
0.8285,0.7741,0.791,0.4226
0.8265,0.7741,0.7911,0.4093
0.8295,0.7744,0.7913,0.4234
0.8286,0.7746,0.7924,0.4092
0.8307,0.7751,0.7921,0.4227
0.8298,0.7753,0.7918,0.4083
0.8319,0.7757,0.7925,0.4238
0.8315,0.7754,0.7931,0.4105
0.8327,0.7765,0.7927,0.4229
0.8313,0.776,0.7928,0.4085
0.8329,0.7764,0.7933,0.4229
0.832,0.7768,0.7931,0.4102
0.8317,0.7775,0.7934,0.4237
0.8322,0.7774,0.7944,0.4092
0.831,0.7777,0.7939,0.4233
0.83,0.7766,0.7948,0.4105
0.83,0.7773,0.7958,0.4214
0.8288,0.7772,0.7946,0.4083
0.8283,0.7772,0.7952,0.4236
0.8276,0.7778,0.7954,0.4129
0.8282,0.778,0.7958,0.4223
0.8257,0.7785,0.796,0.4102
0.8264,0.7784,0.7963,0.422
0.8249,0.7787,0.7959,0.4106
0.8255,0.7788,0.7968,0.4219
0.8245,0.7791,0.7968,0.41
0.8254,0.7791,0.7977,0.4241
0.8234,0.7798,0.7982,0.4124
0.8251,0.7794,0.7993,0.4222
0.8233,0.7803,0.799,0.4098
0.8254,0.7803,0.7993,0.4244
0.8253,0.7811,0.7994,0.4118
0.8255,0.7808,0.8,0.4223
0.8241,0.7812,0.8,0.4108
0.825,0.7814,0.7999,0.424
0.8239,0.7815,0.7998,0.4123
0.8247,0.782,0.7999,0.4198
0.8247,0.782,0.7992,0.409
0.827,0.7822,0.7996,0.4241
0.8285,0.7824,0.7991,0.4143
0.829,0.7823,0.7992,0.4219
0.8295,0.7827,0.8002,0.4125
0.8329,0.7828,0.7998,0.4226
0.8317,0.7837,0.801,0.4132
0.8344,0.7828,0.8015,0.4219
0.8324,0.7842,0.8018,0.414
0.8337,0.7843,0.8021,0.4232
0.8319,0.7846,0.8011,0.4185
0.8344,0.7845,0.8021,0.4248
0.8328,0.7849,0.8011,0.4135
0.835,0.7847,0.802,0.424
0.8328,0.7852,0.8014,0.4196
0.8347,0.7853,0.802,0.4229
0.8315,0.7854,0.8016,0.4159
0.8343,0.7856,0.8025,0.4253
0.8326,0.786,0.8012,0.4228
0.8336,0.7861,0.8025,0.4231
0.8325,0.7862,0.8019,0.4158
0.8323,0.7866,0.8032,0.4241
0.8333,0.7864,0.8023,0.4278
0.8329,0.7862,0.8029,0.4231
0.8336,0.7858,0.8028,0.4261
0.8313,0.786,0.8038,0.4241
0.8322,0.7862,0.8037,0.4218
0.8317,0.7865,0.8048,0.4235
0.8317,0.7877,0.8036,0.4247
0.8316,0.7872,0.8048,0.4247
0.8329,0.7878,0.8049,0.4302
0.8317,0.7879,0.8051,0.4252
0.8332,0.7882,0.804,0.4306
0.8318,0.7885,0.8048,0.4249
0.8341,0.7884,0.804,0.4392
0.8345,0.7887,0.8046,0.4245
0.8365,0.7897,0.8041,0.4364
0.8356,0.789,0.8055,0.4275
0.8383,0.7895,0.805,0.4428
0.8378,0.7896,0.8056,0.4274
0.8381,0.7898,0.8058,0.4364
0.8382,0.789,0.8062,0.4318
0.8379,0.7894,0.8055,0.4519
0.8379,0.7888,0.8066,0.4271
0.838,0.7892,0.8063,0.4443
0.8386,0.789,0.8064,0.4306
0.8368,0.789,0.8064,0.4524
0.8362,0.7887,0.8065,0.4306
0.8334,0.7888,0.806,0.4547
0.8343,0.789,0.8068,0.4377
0.8324,0.789,0.8061,0.4539
0.8328,0.7888,0.8068,0.4293
0.8312,0.7889,0.807,0.4509
0.8312,0.7883,0.808,0.436
0.831,0.7883,0.808,0.4605
0.8333,0.7882,0.8078,0.4383
0.8323,0.7886,0.8081,0.4536
0.8337,0.7888,0.8087,0.4419
0.8348,0.7891,0.809,0.4659
0.8356,0.7883,0.8073,0.4403
0.8371,0.7893,0.8087,0.4624
0.8379,0.7886,0.8088,0.443
0.8401,0.7889,0.8084,0.4678
0.8388,0.7887,0.8088,0.4449
0.8401,0.7888,0.8096,0.4659
0.8379,0.7886,0.8094,0.4543
0.8376,0.7894,0.8097,0.4654
0.8373,0.7898,0.8095,0.4485
0.8373,0.7902,0.8098,0.4675
0.8383,0.7907,0.8105,0.4482
0.8381,0.7912,0.8101,0.4734
0.8383,0.7914,0.8102,0.4562
0.8374,0.7919,0.8097,0.47
0.8377,0.792,0.81,0.4607
0.836,0.7922,0.8094,0.4764
0.8362,0.7927,0.8098,0.4571
0.8369,0.7926,0.8108,0.4719
0.8365,0.7928,0.8113,0.4698
0.835,0.7933,0.811,0.4779
0.835,0.7931,0.8108,0.4671
0.834,0.7936,0.8107,0.4751
0.8339,0.7943,0.8109,0.4744
0.8332,0.7943,0.8111,0.4828
0.8324,0.7938,0.8104,0.471
0.8316,0.7938,0.8115,0.4764
0.8322,0.7944,0.812,0.4801
0.8302,0.7951,0.8123,0.4817
0.8288,0.7948,0.8109,0.4708
0.8288,0.7952,0.8123,0.4803
0.8279,0.7952,0.8122,0.478
0.8291,0.7957,0.8117,0.4845
0.8276,0.7955,0.8116,0.4781
0.8278,0.7953,0.8116,0.4788
0.826,0.7958,0.8122,0.4812
0.8282,0.7959,0.8123,0.4849
0.8255,0.7962,0.8118,0.4796
0.8267,0.7965,0.8124,0.4829
0.8273,0.7967,0.8126,0.4841
0.8296,0.7969,0.814,0.4869
0.8275,0.7968,0.8138,0.4823
0.8302,0.7976,0.8138,0.4858
0.8312,0.7978,0.814,0.4879
0.8334,0.7974,0.8136,0.4875
0.833,0.7977,0.8142,0.4886
0.8348,0.798,0.8147,0.4865
0.8364,0.7979,0.8152,0.4913
0.8378,0.7979,0.8143,0.4888
0.8388,0.7983,0.8152,0.4863
0.84,0.7986,0.8144,0.4881
0.8395,0.7987,0.8161,0.4924
0.8407,0.7983,0.8157,0.4904
0.8392,0.7986,0.8162,0.4913
0.8414,0.7985,0.8151,0.4901
0.8375,0.7992,0.8166,0.4928
0.8408,0.7987,0.8157,0.4941
0.838,0.7992,0.8165,0.4916
0.8396,0.799,0.8157,0.492
0.8356,0.7998,0.8158,0.4948
0.8377,0.7995,0.8162,0.4951
0.8334,0.8,0.817,0.4938
0.8369,0.7993,0.8162,0.4937
0.8327,0.7999,0.8167,0.4962
0.8367,0.7995,0.8168,0.4964
0.8319,0.7998,0.8171,0.4973
0.8367,0.7995,0.8165,0.4939
0.8313,0.7999,0.8178,0.4989
0.8368,0.7995,0.8186,0.497
0.8311,0.7989,0.8183,0.5005
0.8359,0.7995,0.8179,0.4957
0.8324,0.7994,0.8181,0.5015
0.8348,0.7988,0.8187,0.4974
0.8323,0.7991,0.8188,0.4994
0.8348,0.7984,0.8182,0.4954
0.8332,0.7988,0.8189,0.5026
0.8353,0.7983,0.8196,0.4976
0.8342,0.7981,0.8196,0.5038
0.8349,0.7978,0.8198,0.4966
0.8373,0.7982,0.8204,0.5023
0.8356,0.7981,0.8205,0.4993
0.8374,0.7984,0.8197,0.5021
0.836,0.7982,0.8199,0.4983
0.8378,0.7987,0.8199,0.5028
0.8369,0.7988,0.8199,0.4989
0.8393,0.7988,0.8197,0.506
0.8386,0.798,0.8206,0.4991
0.8406,0.7997,0.8207,0.5065
0.8392,0.7992,0.8211,0.5005
0.842,0.8014,0.821,0.5059
0.8411,0.8002,0.8208,0.4994
0.8422,0.8011,0.8215,0.5096
0.8414,0.8011,0.8215,0.5026
0.8418,0.8018,0.8212,0.5064
0.8393,0.8018,0.8221,0.5023
0.8409,0.8026,0.8224,0.5091
0.8389,0.803,0.8215,0.5025
0.8403,0.8029,0.8215,0.5078
0.8398,0.8031,0.8218,0.5028
0.8406,0.8038,0.8214,0.5081
0.8395,0.8039,0.8209,0.507
0.8412,0.8035,0.8221,0.5073
0.8406,0.8038,0.8218,0.5036
0.84,0.8039,0.822,0.509
0.8407,0.8034,0.8227,0.5065
0.8387,0.8039,0.8232,0.5073
0.8404,0.8038,0.8227,0.5058
0.8392,0.805,0.8231,0.5091
0.8399,0.8045,0.8224,0.5066
0.8395,0.8048,0.822,0.5075
0.8385,0.8049,0.8229,0.5078
0.8368,0.8048,0.8229,0.5079
0.8383,0.8052,0.8225,0.5093
0.8368,0.805,0.823,0.5075
0.8371,0.8048,0.8227,0.5084
0.8353,0.8054,0.8228,0.5116
0.8362,0.8053,0.8233,0.5087
0.8354,0.8055,0.8236,0.5089
0.8355,0.805,0.8239,0.5085
0.8336,0.8049,0.8235,0.5121
0.8343,0.8051,0.8235,0.5101
0.8335,0.8054,0.8236,0.5115
0.8339,0.8058,0.8233,0.5111
0.8311,0.8057,0.8241,0.5122
0.8309,0.8061,0.8242,0.5119
0.8302,0.8057,0.8244,0.5115
0.8298,0.8061,0.8244,0.5108
0.8287,0.8061,0.8245,0.5122
0.8287,0.8066,0.8246,0.5128
0.8285,0.8059,0.825,0.5109
0.8278,0.8063,0.824,0.5115
0.8281,0.8065,0.8251,0.5125
0.8296,0.8063,0.8245,0.5134
0.8293,0.8065,0.8254,0.5107
0.8293,0.8073,0.8244,0.5131
0.8287,0.8064,0.8248,0.5137
0.8308,0.8069,0.8251,0.5141
0.8295,0.8068,0.8251,0.5138
0.833,0.8069,0.8252,0.5127
0.8337,0.8067,0.8251,0.5149
