epoch,loss,accuracy
1,2.198223431905111,0.1011
2,2.3340478261311848,0.2787
3,2.287692578633626,0.5879
4,2.336965815226237,0.6289
5,2.2720622380574547,0.6821
6,2.3130962371826174,0.7168
7,2.2562581380208333,0.7029
8,2.2815953572591146,0.72
9,2.2373579661051433,0.7035
10,2.2598962783813477,0.7184
11,2.227057647705078,0.7104
12,2.2428139368693034,0.7172
13,2.218271700541178,0.7068
14,2.235147666931152,0.7119
15,2.21568177541097,0.7074
16,2.2301409403483072,0.7019
17,2.2098464965820312,0.6934
18,2.2055063883463544,0.6962
19,2.1816189448038736,0.7064
20,2.18512388865153,0.7163
21,2.16351629892985,0.7188
22,2.168271064758301,0.7227
23,2.1459325790405273,0.7341
24,2.1496291478474934,0.7396
25,2.135854403177897,0.7394
26,2.1489688873291017,0.7453
27,2.127537218729655,0.7507
28,2.1399091720581054,0.7581
29,2.1170857747395835,0.7542
30,2.1221906026204427,0.7714
31,2.1039210001627606,0.7688
32,2.116806157430013,0.7766
