p=0.97,p=0.95,p=0.93
0.4715,0.5907,0.6317
0.4717,0.592,0.6321
0.4741,0.5921,0.633
0.4745,0.5934,0.6324
0.4764,0.5936,0.6342
0.4774,0.594,0.6335
0.4781,0.5937,0.6343
0.4788,0.5965,0.6343
0.4785,0.5962,0.6354
0.4791,0.5985,0.6348
0.48,0.598,0.6364
0.4805,0.6003,0.6367
0.4816,0.5994,0.6366
0.4818,0.6003,0.6369
0.4821,0.6008,0.6374
0.4828,0.6016,0.637
0.4841,0.6014,0.6384
0.485,0.602,0.6386
0.4861,0.6034,0.6398
0.4862,0.604,0.6395
0.4866,0.6041,0.6409
0.4866,0.6055,0.6407
0.4874,0.6044,0.6415
0.4876,0.6051,0.6416
0.4889,0.6047,0.6435
0.4895,0.6057,0.6429
0.4899,0.6061,0.6439
0.4915,0.6074,0.6446
0.4914,0.6069,0.6454
0.4917,0.6079,0.6449
0.4924,0.608,0.6454
0.4929,0.609,0.6451
0.4917,0.6085,0.6459
0.4915,0.6097,0.6462
0.4929,0.6096,0.6466
0.4923,0.6098,0.647
0.4938,0.6108,0.6477
0.4939,0.612,0.6477
0.4933,0.6113,0.6487
0.4944,0.6128,0.6493
0.495,0.6117,0.6498
0.4948,0.6144,0.6497
0.4956,0.6132,0.6509
0.4964,0.6148,0.6506
0.4975,0.6151,0.6512
0.4968,0.6165,0.6505
0.4972,0.6172,0.6514
0.4979,0.6193,0.6505
0.498,0.6183,0.652
0.499,0.6204,0.6511
0.5,0.6194,0.6516
0.499,0.6204,0.652
0.5005,0.6197,0.653
0.5014,0.6208,0.6527
0.5027,0.6193,0.6531
0.5017,0.6212,0.6522
0.5025,0.6205,0.6531
0.503,0.6212,0.6527
0.5028,0.6195,0.6527
0.5034,0.6209,0.653
0.5044,0.6213,0.6537
0.5045,0.622,0.6529
0.5054,0.6216,0.654
0.5053,0.6228,0.6537
0.5063,0.6221,0.6539
0.5059,0.6226,0.6533
0.5066,0.6223,0.6539
0.5064,0.623,0.6533
0.5075,0.6229,0.6548
0.5064,0.6234,0.6542
0.5073,0.6223,0.6552
0.507,0.6238,0.6553
0.5075,0.6238,0.6555
0.5072,0.6247,0.6554
0.5079,0.6248,0.6556
0.5065,0.6249,0.6559
0.5079,0.6247,0.6563
0.5076,0.6248,0.6567
