epoch,loss,accuracy
1,2.176260566711426,0.1109
2,2.3690428415934246,0.3044
3,2.2849297205607098,0.6124
4,2.350566800435384,0.6714
5,2.261847496032715,0.6751
6,2.3001867294311524,0.711
7,2.2553658167521156,0.6839
8,2.284113311767578,0.7041
9,2.2531633377075195,0.6953
10,2.2802422205607096,0.7064
11,2.246265920003255,0.6959
12,2.2649351755777993,0.7048
13,2.2408924102783203,0.6815
14,2.2630319595336914,0.6955
15,2.2404516220092776,0.6989
16,2.2466071446736655,0.7002
17,2.2132914225260416,0.6873
18,2.2173294703165687,0.704
