Sum_aa1,Diag_aa1,FRSD_aa1,FROZEN_aa1
0.9373,0.9235,0.9315,0.7072
0.9383,0.9235,0.9314,0.7072
0.9377,0.9236,0.9316,0.7075
0.9389,0.9236,0.9317,0.7101
0.9384,0.9243,0.9321,0.7097
0.9397,0.9243,0.9321,0.7098
0.9397,0.9246,0.9323,0.7092
0.9405,0.9252,0.932,0.712
0.941,0.9254,0.9328,0.7108
0.9416,0.9255,0.9331,0.7118
0.9417,0.9256,0.9332,0.7129
0.942,0.9257,0.9335,0.7135
0.9426,0.9261,0.9334,0.7129
0.9432,0.9265,0.9338,0.7134
0.9433,0.9266,0.9342,0.7125
0.9444,0.9268,0.9344,0.7118
0.9446,0.9269,0.9348,0.7123
0.9453,0.9271,0.9349,0.7136
0.9454,0.9276,0.9349,0.7151
0.9458,0.9274,0.9354,0.715
0.9458,0.9277,0.9356,0.7137
0.9459,0.928,0.9354,0.7126
0.9461,0.9281,0.9354,0.7134
0.9463,0.9284,0.9356,0.714
0.9462,0.9293,0.9358,0.7142
0.9468,0.9295,0.9356,0.7148
0.9465,0.9298,0.9359,0.7149
0.9462,0.93,0.9361,0.714
0.9469,0.9301,0.936,0.715
0.9466,0.9302,0.9365,0.7157
0.9467,0.9304,0.9366,0.715
0.9471,0.9304,0.9363,0.7152
0.9471,0.9306,0.9371,0.7165
0.9472,0.9309,0.9372,0.7176
0.9474,0.9309,0.937,0.7162
0.9471,0.9311,0.9373,0.7171
0.9472,0.9309,0.9375,0.7165
0.9472,0.9313,0.9372,0.7177
0.9471,0.9317,0.9376,0.7158
0.9469,0.9314,0.9375,0.7166
0.0,0.0,0.0,0.718
0.0,0.0,0.0,0.7173
0.0,0.0,0.0,0.7178
0.0,0.0,0.0,0.7171
0.0,0.0,0.0,0.719
0.0,0.0,0.0,0.7187
0.0,0.0,0.0,0.7186
0.0,0.0,0.0,0.7175
0.0,0.0,0.0,0.7198
0.0,0.0,0.0,0.7191
0.0,0.0,0.0,0.7198
0.0,0.0,0.0,0.7189
0.0,0.0,0.0,0.7201
0.0,0.0,0.0,0.7186
0.0,0.0,0.0,0.719
0.0,0.0,0.0,0.7199
0.0,0.0,0.0,0.7216
0.0,0.0,0.0,0.7199
0.0,0.0,0.0,0.721
0.0,0.0,0.0,0.7212
0.0,0.0,0.0,0.7207
0.0,0.0,0.0,0.7199
0.0,0.0,0.0,0.7209
0.0,0.0,0.0,0.7209
0.0,0.0,0.0,0.7222
0.0,0.0,0.0,0.7217
0.0,0.0,0.0,0.7214
0.0,0.0,0.0,0.7211
0.0,0.0,0.0,0.7231
0.0,0.0,0.0,0.7227
0.0,0.0,0.0,0.7232
0.0,0.0,0.0,0.7225
0.0,0.0,0.0,0.7224
0.0,0.0,0.0,0.7226
0.0,0.0,0.0,0.7242
0.0,0.0,0.0,0.7239
0.0,0.0,0.0,0.7246
0.0,0.0,0.0,0.725
0.0,0.0,0.0,0.725
0.0,0.0,0.0,0.7261
0.0,0.0,0.0,0.7256
0.0,0.0,0.0,0.7268
0.0,0.0,0.0,0.7258
0.0,0.0,0.0,0.7268
0.0,0.0,0.0,0.7252
0.0,0.0,0.0,0.7271
0.0,0.0,0.0,0.7257
0.0,0.0,0.0,0.7284
0.0,0.0,0.0,0.7263
0.0,0.0,0.0,0.7273
0.0,0.0,0.0,0.7267
0.0,0.0,0.0,0.7276
0.0,0.0,0.0,0.727
0.0,0.0,0.0,0.7285
0.0,0.0,0.0,0.7279
0.0,0.0,0.0,0.728
0.0,0.0,0.0,0.7284
0.0,0.0,0.0,0.7283
0.0,0.0,0.0,0.7287
0.0,0.0,0.0,0.7288
0.0,0.0,0.0,0.7307
0.0,0.0,0.0,0.7285
0.0,0.0,0.0,0.7297
0.0,0.0,0.0,0.7291
0.0,0.0,0.0,0.7302
0.0,0.0,0.0,0.7296
0.0,0.0,0.0,0.7304
0.0,0.0,0.0,0.73
0.0,0.0,0.0,0.7309
0.0,0.0,0.0,0.7311
0.0,0.0,0.0,0.7325
0.0,0.0,0.0,0.7304
0.0,0.0,0.0,0.7325
0.0,0.0,0.0,0.7313
0.0,0.0,0.0,0.7332
0.0,0.0,0.0,0.733
0.0,0.0,0.0,0.7339
0.0,0.0,0.0,0.7339
0.0,0.0,0.0,0.735
0.0,0.0,0.0,0.7356
0.0,0.0,0.0,0.7356
0.0,0.0,0.0,0.7362
0.0,0.0,0.0,0.7363
0.0,0.0,0.0,0.7362
0.0,0.0,0.0,0.7372
0.0,0.0,0.0,0.7378
0.0,0.0,0.0,0.7373
0.0,0.0,0.0,0.7381
0.0,0.0,0.0,0.7386
0.0,0.0,0.0,0.7384
0.0,0.0,0.0,0.7394
0.0,0.0,0.0,0.7393
0.0,0.0,0.0,0.7386
0.0,0.0,0.0,0.7401
0.0,0.0,0.0,0.7413
0.0,0.0,0.0,0.7406
0.0,0.0,0.0,0.7418
0.0,0.0,0.0,0.7427
0.0,0.0,0.0,0.743
0.0,0.0,0.0,0.7432
0.0,0.0,0.0,0.7438
0.0,0.0,0.0,0.7445
0.0,0.0,0.0,0.745
0.0,0.0,0.0,0.7458
0.0,0.0,0.0,0.7457
0.0,0.0,0.0,0.7453
0.0,0.0,0.0,0.7472
0.0,0.0,0.0,0.7466
0.0,0.0,0.0,0.7481
0.0,0.0,0.0,0.7478
0.0,0.0,0.0,0.7486
0.0,0.0,0.0,0.7493
0.0,0.0,0.0,0.7501
0.0,0.0,0.0,0.7496
0.0,0.0,0.0,0.7515
0.0,0.0,0.0,0.7514
0.0,0.0,0.0,0.7524
0.0,0.0,0.0,0.7533
0.0,0.0,0.0,0.7528
0.0,0.0,0.0,0.7535
0.0,0.0,0.0,0.7538
0.0,0.0,0.0,0.7549
0.0,0.0,0.0,0.754
0.0,0.0,0.0,0.7548
0.0,0.0,0.0,0.7556
0.0,0.0,0.0,0.7557
0.0,0.0,0.0,0.7565
0.0,0.0,0.0,0.7563
0.0,0.0,0.0,0.7569
0.0,0.0,0.0,0.7578
0.0,0.0,0.0,0.7576
0.0,0.0,0.0,0.7579
0.0,0.0,0.0,0.7579
0.0,0.0,0.0,0.7589
0.0,0.0,0.0,0.7598
0.0,0.0,0.0,0.759
0.0,0.0,0.0,0.761
0.0,0.0,0.0,0.7603
0.0,0.0,0.0,0.7606
0.0,0.0,0.0,0.7612
0.0,0.0,0.0,0.7623
0.0,0.0,0.0,0.7622
0.0,0.0,0.0,0.7638
0.0,0.0,0.0,0.7643
0.0,0.0,0.0,0.7649
0.0,0.0,0.0,0.7642
0.0,0.0,0.0,0.7651
0.0,0.0,0.0,0.7652
0.0,0.0,0.0,0.767
0.0,0.0,0.0,0.7659
0.0,0.0,0.0,0.7674
0.0,0.0,0.0,0.7676
0.0,0.0,0.0,0.7689
0.0,0.0,0.0,0.7675
0.0,0.0,0.0,0.7692
0.0,0.0,0.0,0.7695
0.0,0.0,0.0,0.7706
0.0,0.0,0.0,0.7705
0.0,0.0,0.0,0.7716
0.0,0.0,0.0,0.7706
0.0,0.0,0.0,0.7718
0.0,0.0,0.0,0.7732
0.0,0.0,0.0,0.7723
0.0,0.0,0.0,0.7732
0.0,0.0,0.0,0.773
0.0,0.0,0.0,0.775
0.0,0.0,0.0,0.7758
0.0,0.0,0.0,0.776
0.0,0.0,0.0,0.7754
0.0,0.0,0.0,0.7756
0.0,0.0,0.0,0.7764
0.0,0.0,0.0,0.7766
0.0,0.0,0.0,0.7779
0.0,0.0,0.0,0.7785
0.0,0.0,0.0,0.7788
0.0,0.0,0.0,0.7787
0.0,0.0,0.0,0.7795
0.0,0.0,0.0,0.7795
0.0,0.0,0.0,0.7812
