Epoch,Train_Loss,Test_Loss,Test_Accuracy
1,2.2765937760472297,2.3027227091789246,0.1
2,2.2988611757755284,2.3030698108673096,0.1
3,2.294139754772186,2.3038255548477173,0.1
4,2.292448306083679,2.305188841819763,0.0999
5,2.2873736530542375,2.3057210779190065,0.0963
6,2.290800151228905,2.2937810897827147,0.1022
7,2.2883442789316173,2.2621699237823485,0.1266
8,2.2815735787153244,2.2129684495925903,0.1933
9,2.2751363456249236,2.17068234205246,0.2338
10,2.2716582268476486,2.143760721683502,0.2551
11,2.2693206697702406,2.125888953208923,0.2648
12,2.268478697538376,2.116775050163269,0.2753
13,2.2683800935745237,2.10805459022522,0.281
14,2.262613320350647,2.0929799318313598,0.2827
15,2.2604097425937657,2.0771272444725035,0.289
16,2.2603329092264177,2.0697820591926575,0.298
17,2.2615721791982653,2.0571583950519563,0.293
18,2.256142944097519,2.0544003474712373,0.3001
19,2.256417340040207,2.04003537774086,0.3104
20,2.250380697846412,2.028368453979492,0.3171
21,2.2492175996303563,2.020191855430603,0.3186
22,2.245457199215889,2.0106312358379363,0.3259
23,2.2461989015340804,2.0019986617565153,0.3326
24,2.2449678838253018,1.9995979738235474,0.336
25,2.2406585156917567,1.9895657539367675,0.3425
26,2.2383375138044355,1.9810394382476806,0.3446
27,2.235477817058563,1.9725216293334962,0.3463
28,2.2340257585048677,1.9664892804622651,0.3508
29,2.232088950276375,1.962352339029312,0.3541
30,2.2311249107122424,1.9559555530548096,0.3538
31,2.2279301464557646,1.950975297689438,0.3562
32,2.2291696578264237,1.9453585958480835,0.3591
33,2.224926918745041,1.9411518025398253,0.3648
34,2.2275687962770463,1.938136376142502,0.3644
35,2.2246480494737626,1.933061683177948,0.3684
36,2.224334955215454,1.9297674357891084,0.3701
37,2.2260137647390366,1.921309769153595,0.3719
38,2.223420482873917,1.9176531875133513,0.3743
39,2.223192718625069,1.9149765348434449,0.3786
40,2.21901490688324,1.9135304069519044,0.3816
41,2.2181513398885726,1.906172949075699,0.3794
42,2.2177497416734693,1.9037983405590058,0.3829
43,2.2140139013528826,1.902037534713745,0.3868
44,2.2066536843776703,1.8961159348487855,0.3915
45,2.1996307760477065,1.8879004049301147,0.3943
46,2.2006546318531033,1.885587327480316,0.3951
47,2.196768546104431,1.8793438363075257,0.3994
48,2.1944880574941634,1.87654003739357,0.4018
49,2.2004352420568467,1.8673059964179992,0.401
50,2.196090629696846,1.86619255900383,0.4013
51,2.1944534808397296,1.8625227463245393,0.3975
52,2.1874656289815904,1.8510127544403077,0.403
53,2.182881388068199,1.848062504529953,0.4065
54,2.185309508442879,1.8386310851573944,0.4089
55,2.19420630633831,1.8412930130958558,0.4073
56,2.189949078857899,1.8502771615982057,0.4018
57,2.182190325856209,1.8431633460521697,0.4068
58,2.183600606024265,1.8370240080356597,0.4093
59,2.182058796286583,1.8297787165641786,0.4099
60,2.177493004500866,1.8308033883571624,0.4103
61,2.1770208150148393,1.8275350046157837,0.4104
62,2.1741662517189977,1.8238254880905151,0.4128
63,2.1708190873265267,1.8170257246494292,0.4128
64,2.175533050298691,1.8156141030788422,0.4151
65,2.1771712347865106,1.8185517239570617,0.4144
66,2.176574444770813,1.8165262377262115,0.4139
67,2.16451678276062,1.8140546429157256,0.4118
68,2.162198160588741,1.807321889400482,0.417
69,2.1585155352950096,1.8033873593807221,0.417
70,2.1598245263099667,1.8017502176761626,0.4218
71,2.1586345583200455,1.7956048810482026,0.4187
72,2.159002013504505,1.7925582933425903,0.4173
73,2.151049843430519,1.791739009618759,0.4152
74,2.150882643461227,1.7918721783161162,0.4219
75,2.1520129978656772,1.7971756601333617,0.4222
76,2.1435776114463807,1.797904155254364,0.422
77,2.148517821729183,1.7956115531921386,0.4239
78,2.151446832716465,1.7885538363456726,0.423
79,2.151074603199959,1.7845161187648773,0.4237
80,2.1487313121557237,1.7836098372936249,0.4265
81,2.1513281777501105,1.780841861963272,0.4272
82,2.145520234107971,1.7809221351146698,0.4281
83,2.1436785042285917,1.7720078420639038,0.429
84,2.147514931857586,1.7731741559505463,0.4288
85,2.1420873627066612,1.7735137307643891,0.4258
86,2.1316345021128655,1.7665693795681,0.4258
87,2.1206953734159475,1.7675823378562927,0.4269
88,2.1170927077531814,1.7681964468955993,0.4271
89,2.1134724423289297,1.7705531120300293,0.4277
90,2.1081730216741565,1.7682328140735626,0.4298
91,2.1150122091174124,1.7649129462242126,0.4307
92,2.116832661628723,1.7628789722919465,0.4346
93,2.1250265032052993,1.7591669738292695,0.4342
94,2.1394634872674945,1.7567662918567657,0.434
95,2.1376688912510873,1.7622169744968414,0.4327
96,2.1225524634122848,1.7610745704174042,0.438
97,2.1151872530579565,1.7517623353004455,0.4359
98,2.1116215273737904,1.7474502980709077,0.437
99,2.1087655052542686,1.7439836239814759,0.4368
100,2.1041006967425346,1.747226665019989,0.437
101,2.103275622427464,1.746172820329666,0.4364
102,2.1053177297115324,1.74362868309021,0.4313
103,2.107703910768032,1.7365995395183562,0.4338
104,2.0968792617321013,1.7375856351852417,0.4371
105,2.078436081111431,1.736549072265625,0.4413
106,2.0840997770428658,1.733439623117447,0.4416
107,2.099002794921398,1.7272839307785035,0.439
108,2.1161938846111297,1.7333267533779144,0.4337
109,2.0973929464817047,1.7326069474220276,0.4331
110,2.0754450604319574,1.7385177159309386,0.4421
111,2.0863436087965965,1.7347968018054962,0.4375
112,2.106272400915623,1.7234256064891815,0.4378
113,2.0981579810380935,1.7243406188488006,0.4386
114,2.081406185030937,1.7214098358154297,0.4391
115,2.072018948197365,1.729977436065674,0.4386
116,2.0677892357110976,1.738320254087448,0.441
117,2.077630051970482,1.7330761110782624,0.4404
118,2.0901651486754416,1.7227426171302795,0.4421
119,2.0827153384685517,1.7263054502010347,0.4432
120,2.0618338912725447,1.7259646201133727,0.4462
121,2.0559477016329764,1.7285981249809266,0.4392
122,2.065178248286247,1.7263053154945374,0.4414
123,2.0615987107157707,1.7178286921977997,0.4453
124,2.0390035569667817,1.712997943162918,0.4443
125,2.0346532136201856,1.711087747812271,0.4425
126,2.043360048532486,1.7009532475471496,0.4472
127,2.0586820736527445,1.7080469501018525,0.4353
128,2.065443409979343,1.7091743803024293,0.441
129,2.0618420019745827,1.7239420413970947,0.4412
130,2.0737793326377867,1.739209588766098,0.4431
131,2.0653795868158342,1.7317171096801758,0.4486
132,2.0355589404702186,1.7196367859840394,0.4507
133,2.040005788207054,1.7050775504112243,0.4466
134,2.06821716427803,1.697315158843994,0.4471
135,2.0388520449399947,1.7022657656669617,0.4447
136,2.0262590780854226,1.6973200452327728,0.4478
137,2.046484422683716,1.7007846450805664,0.4466
138,2.046581520140171,1.7029474198818206,0.4451
139,2.037319476902485,1.7010653007030487,0.4502
140,2.005340269207954,1.6974982845783233,0.4534
141,1.99755876660347,1.697780224084854,0.4536
142,2.01239073574543,1.6861521244049071,0.453
143,2.047898481786251,1.682245477437973,0.4426
144,2.072179174423218,1.7061799991130828,0.4244
145,2.0183410346508026,1.6959375536441803,0.445
146,1.9962871536612512,1.695125789642334,0.4459
147,1.9744406700134278,1.6976986944675445,0.4505
148,1.9860333949327469,1.6926267695426942,0.4528
149,2.0105086728930472,1.6850231099128723,0.4499
150,2.0023746147751806,1.6818599224090576,0.4479
151,2.0082866176962852,1.690671101808548,0.4509
152,2.0221834972500803,1.680613738298416,0.4517
153,2.049081179499626,1.678156977891922,0.4515
154,2.00260151475668,1.679261655807495,0.4536
155,1.966669936478138,1.6850762915611268,0.4588
156,1.9672815605998037,1.6898513543605804,0.459
157,1.9728235319256782,1.6762936890125275,0.4604
158,1.9862011045217516,1.6611339724063874,0.4592
159,1.9602953359484674,1.6665424454212188,0.461
160,1.9385988652706145,1.678176017999649,0.4615
161,1.9479351371526716,1.6775511348247527,0.4601
162,1.9832774907350539,1.677094850540161,0.4564
163,2.001865750551224,1.6769543886184692,0.4547
164,1.9641504392027853,1.6736699187755584,0.4629
165,1.9269162774086,1.6813279163837433,0.4626
166,1.9229809343814848,1.680427621603012,0.4597
167,1.9437902763485908,1.6767946469783783,0.4608
168,1.9731801956892014,1.6743047893047334,0.4579
169,1.9813798308372501,1.6619657254219056,0.4545
170,1.9833651140332222,1.6631034421920776,0.4556
171,1.953044441342354,1.6675140619277955,0.455
172,1.9467352509498597,1.67597860455513,0.4601
173,1.9599481225013733,1.6623437535762786,0.4627
174,1.9747074887156486,1.660411765575409,0.4645
175,1.9164662301540374,1.6661079454421996,0.4663
176,1.9259522154927255,1.6674074447154998,0.4688
177,1.9306106120347977,1.6654138922691346,0.4692
178,1.9057565256953237,1.6546227180957793,0.4674
179,1.885383762419224,1.6579222667217255,0.4651
180,1.8736698821187021,1.6576382148265838,0.4635
181,1.8628793835639954,1.6625863027572632,0.4628
182,1.8612247571349145,1.6621694827079774,0.4668
183,1.8714082673192027,1.6566152560710907,0.4658
184,1.9124473571777343,1.641522673368454,0.4631
185,1.9850382417440415,1.6502404749393462,0.4533
186,1.9319880977272987,1.6307244992256165,0.4567
187,1.9704068094491958,1.64950456738472,0.4576
188,1.9371436089277267,1.662140290737152,0.4645
189,1.9384351164102553,1.6526107394695282,0.4644
190,1.8867966070771218,1.6489135718345642,0.4679
191,1.8561436131596563,1.6587605834007264,0.4686
192,1.8515576347708702,1.6559206235408783,0.469
193,1.854923813045025,1.6578150177001953,0.4683
194,1.8612106025218964,1.6583744990825653,0.4714
195,1.9212667763233184,1.6588224816322326,0.4659
196,1.9352076649665835,1.6395839977264404,0.4547
197,1.941799958050251,1.6359497940540313,0.4621
198,1.8876528978347777,1.644108282327652,0.4722
199,1.8560934796929358,1.6444737815856934,0.4705
200,1.8391509130597117,1.6435222601890564,0.4652
