epoch,loss,accuracy
1,2.1418157418568926,0.1178
2,2.1285911083221434,0.137
3,2.121592124303182,0.1714
4,2.1215574423472083,0.1974
5,2.118546231587728,0.2327
6,2.120123354593913,0.2691
7,2.1169370969136554,0.3086
8,2.116462818781535,0.3474
9,2.1158539613087974,0.3864
10,2.1135167121887206,0.4268
11,2.1138095378875734,0.4616
12,2.112456782658895,0.4923
13,2.112996260325114,0.5174
14,2.110643227895101,0.5457
15,2.1107981204986577,0.5652
16,2.1096062819163004,0.5852
17,2.1083364963531492,0.5964
18,2.1076732794443767,0.6097
19,2.1067765871683757,0.62
20,2.107225847244263,0.6279
21,2.1055592536926273,0.636
22,2.10542098681132,0.6459
23,2.103855339686076,0.6524
24,2.102724981307983,0.6551
25,2.1027639865875245,0.6614
26,2.102095556259156,0.6642
27,2.1003346920013426,0.6687
28,2.10062616666158,0.6738
29,2.100302314758301,0.6752
30,2.0982032299041746,0.6772
31,2.0974150975545247,0.68
32,2.098114013671875,0.6825
33,2.0965076446533204,0.6853
34,2.0957481225331622,0.6838
35,2.094721523920695,0.6836
36,2.0937998612721764,0.6857
37,2.0931617895762127,0.6847
38,2.0929609616597493,0.6892
39,2.091388750076294,0.6893
40,2.08973871866862,0.6914
41,2.090268389383952,0.6905
42,2.088838322957357,0.691
43,2.0868141969045,0.6919
44,2.0883693218231203,0.6928
45,2.0860733826955165,0.6929
46,2.084692939122518,0.6928
47,2.085841162999471,0.6912
48,2.08284494082133,0.6935
49,2.083592494328817,0.6933
50,2.0808211167653403,0.6942
51,2.08069330851237,0.6954
