epoch,loss,accuracy
0,2.14,0.10
1,2.315623664855957,0.1256
2,2.3163063685099283,0.1533
3,2.3148216883341473,0.1999
4,2.312608846028646,0.2436
5,2.3109748204549154,0.2948
6,2.3096086184183755,0.345
7,2.3077586174011233,0.3932
8,2.306613413492838,0.4462
9,2.305067698160807,0.4913
10,2.303421719868978,0.5304
11,2.3038966496785482,0.5609
12,2.302662245432536,0.5822
13,2.300441805521647,0.6054
14,2.299193255106608,0.6201
15,2.297059059143067,0.6304
16,2.297434552510579,0.6437
17,2.2946266492207847,0.6512
18,2.2952319145202638,0.6565
19,2.2925957679748534,0.6652
20,2.292944590250651,0.6692
21,2.290371068318685,0.6723
22,2.2898969014485675,0.678
23,2.2884994188944496,0.6801
24,2.2871243158976235,0.6807
25,2.285031541188558,0.6807
26,2.285744063059489,0.6842
27,2.284068202972412,0.6841
28,2.28265765508016,0.6824
29,2.282135995229085,0.6885
30,2.281604607899984,0.6865
31,2.279237906138102,0.6857
32,2.278988234202067,0.6836
33,2.276387119293213,0.6869
34,2.27536989847819,0.6867
35,2.2740109125773116,0.6836
36,2.2756115277608235,0.6884
37,2.2724695841471356,0.6862
38,2.2718738238016765,0.6896
39,2.2714791933695477,0.688
40,2.269998264312744,0.6869
41,2.2678016662597655,0.6896
42,2.2636468569437667,0.6877
43,2.2655122121175126,0.6862
44,2.2648233413696293,0.6895
45,2.2641502062479657,0.6891
46,2.259992758433024,0.6872
47,2.2602890968322753,0.6885
48,2.258010005950928,0.691
49,2.2585998217264813,0.6923
50,2.256897862752279,0.6935
51,2.2565224329630538,0.6969
52,2.2540247281392416,0.6944
53,2.2510432243347167,0.6992
54,2.251598358154297,0.7008
55,2.2531461079915367,0.7009
56,2.250554370880127,0.6982
57,2.2499755223592124,0.6987
58,2.247323799133301,0.7018
59,2.244221083323161,0.6999
60,2.2449242591857907,0.7041
61,2.2422106107076005,0.7041
62,2.2410656611124673,0.7027
63,2.245007801055908,0.706
64,2.242319107055664,0.7049
65,2.242219479878744,0.7038
66,2.238460159301758,0.7031
67,2.2371570587158205,0.7038
68,2.233547306060791,0.7068
69,2.2350489616394045,0.7071
70,2.2323314348856607,0.71
71,2.2330952644348145,0.7091
72,2.2325675646464034,0.7145
73,2.231537628173828,0.7117
74,2.2324638684590656,0.7106
75,2.2286735852559407,0.7114
76,2.2227426211039227,0.7132
77,2.223653793334961,0.7144
78,2.2222242673238113,0.7173
79,2.2229482332865396,0.7205
80,2.219909477233887,0.7211
81,2.220568529764811,0.7201
82,2.224758879343669,0.7185
83,2.2265215873718263,0.7159
84,2.2232568422953283,0.7168
85,2.2195491154988605,0.7209
86,2.216310501098633,0.7244
87,2.2146114031473796,0.7217
88,2.2118514060974124,0.7277
89,2.2131911277770997,0.7243
90,2.214791552225749,0.7253
91,2.2175310452779136,0.7253
92,2.2142621676127114,0.726
93,2.212428569793701,0.7236
94,2.2098966280619305,0.7255
95,2.204804452260335,0.7285
96,2.2058115323384606,0.7298
97,2.203295516967773,0.7329
98,2.2017676353454596,0.7322
99,2.200239594777425,0.7294
100,2.2077877362569174,0.728
