epoch,loss,accuracy
1,2.3163522402445476,0.1209
2,2.31634308497111,0.1443
3,2.317438507080078,0.1838
4,2.312397575378418,0.2133
5,2.312544981638591,0.2526
6,2.310896364847819,0.2967
7,2.3090756098429366,0.3359
8,2.3084189097086587,0.378
9,2.3062623341878257,0.418
10,2.30618953704834,0.4599
11,2.3053895314534505,0.4929
12,2.3047128359476727,0.5253
13,2.3025405883789065,0.5497
14,2.3026671727498376,0.57
15,2.3002802530924478,0.59
16,2.300765864054362,0.6079
17,2.2983238538106283,0.617
18,2.2982814470926924,0.6287
19,2.2966677665710447,0.6366
20,2.2968064308166505,0.644
21,2.2954002062479653,0.6517
22,2.2936791737874347,0.6583
23,2.2925458908081056,0.6618
24,2.292591158548991,0.6651
25,2.290531094868978,0.6694
26,2.2903010686238603,0.6748
27,2.2898731231689453,0.6764
28,2.2876087824503584,0.6794
29,2.286540412902832,0.6835
30,2.286818822224935,0.6847
31,2.2857018152872723,0.6861
32,2.2844457308451336,0.6848
33,2.283096440633138,0.6891
34,2.2819206555684404,0.6892
35,2.2808443387349446,0.6902
36,2.2809519767761226,0.6914
37,2.2800787607828776,0.6908
38,2.2781277656555177,0.6928
39,2.2791662216186523,0.6947
40,2.276243273417155,0.6927
41,2.273770872751872,0.695
42,2.2720505078633626,0.6944
43,2.2731585820515954,0.6941
44,2.273250834147136,0.6943
45,2.271166928609212,0.693
46,2.2716408093770344,0.6917
47,2.2707257906595864,0.6916
48,2.2683464050292965,0.6922
49,2.269155311584473,0.6923
50,2.2700387636820474,0.6889
51,2.266586176554362,0.692
52,2.2655349095662434,0.6903
53,2.264324982961019,0.6912
54,2.26340545018514,0.6932
55,2.26264861424764,0.6937
56,2.261852327982585,0.6937
57,2.261037985483805,0.6929
58,2.258223597208659,0.6943
59,2.2591164588928225,0.6955
60,2.2587886492411293,0.6925
61,2.256619199117025,0.6948
62,2.2556964874267575,0.6953
63,2.255139573415121,0.6934
64,2.2560344378153485,0.6936
65,2.253772449493408,0.6904
66,2.252694797515869,0.6923
67,2.253552182515462,0.6916
68,2.250398445129395,0.6898
69,2.2501518567403154,0.6915
70,2.24725071589152,0.6913
71,2.2475554784138994,0.6925
72,2.2468510309855145,0.6947
73,2.244813855489095,0.6952
74,2.2455511411031086,0.693
75,2.2454546610514323,0.6936
76,2.2428620656331377,0.6968
77,2.2419313112894694,0.698
78,2.240547402699788,0.696
79,2.2413454691569012,0.6979
80,2.2387845675150557,0.7006
81,2.2380945523579916,0.6997
82,2.239025529225667,0.7032
83,2.2371784210205075,0.6996
84,2.2368906339009604,0.6977
85,2.235539976755778,0.6997
86,2.2345589637756347,0.7021
87,2.2328390121459964,0.7018
88,2.2329135576883954,0.7042
89,2.2297755241394044,0.7041
90,2.230309518178304,0.7072
91,2.2309159596761066,0.7061
92,2.2303113619486488,0.7084
93,2.2321604092915854,0.7041
94,2.2259230931599934,0.7069
95,2.227131144205729,0.7082
96,2.226240889231364,0.7107
97,2.2238265673319497,0.7101
98,2.223083782196045,0.7113
99,2.2238027254740396,0.7126
100,2.2265873908996583,0.7105
