epoch,loss,accuracy
1,2.3135059674580893,0.1286
2,2.3188841501871744,0.1646
3,2.3117193539937335,0.224
4,2.3123029708862304,0.2783
5,2.3087436993916826,0.3442
6,2.307706991831462,0.4028
7,2.3056510289510093,0.4611
8,2.3046826680501304,0.5058
9,2.3024836858113606,0.541
10,2.300401814778646,0.5723
11,2.3000455538431805,0.5934
12,2.298179054260254,0.612
13,2.2964264233907064,0.6219
14,2.2947935104370116,0.6328
15,2.291970666249593,0.6397
16,2.2923365592956544,0.6497
17,2.290443992614746,0.6515
18,2.288216686248779,0.6524
19,2.287308343251546,0.6584
20,2.287361240386963,0.6559
21,2.2849088033040363,0.6576
22,2.2825467745463057,0.6554
23,2.2813340504964192,0.6573
24,2.281915028889974,0.6556
25,2.2783029556274417,0.6518
26,2.277654393513997,0.6508
27,2.2761146545410154,0.6513
28,2.273660087585449,0.6492
29,2.2732339859008786,0.6526
30,2.2720232963562013,0.6497
31,2.2710115114847818,0.6496
32,2.2716442108154298,0.6451
33,2.268119970957438,0.6444
34,2.2650826136271163,0.6451
35,2.2633843739827477,0.6422
36,2.263544654846191,0.648
37,2.2634077707926434,0.6443
38,2.263870366414388,0.6453
39,2.2604883193969725,0.6441
40,2.256849002838135,0.6406
41,2.2560578346252442,0.6422
42,2.252693843841553,0.6441
43,2.255679225921631,0.6437
44,2.2533123334248857,0.6436
45,2.2509238560994462,0.6447
46,2.2489146550496417,0.6444
47,2.2484512011210125,0.6422
48,2.2479121526082353,0.6452
49,2.247029050191243,0.6446
50,2.2471827824910484,0.6436
51,2.244115702311198,0.6466
52,2.241026178995768,0.6455
53,2.239118830362956,0.6451
54,2.238581466674805,0.6489
55,2.23967440923055,0.6481
56,2.239038848876953,0.6474
57,2.237514114379883,0.6485
58,2.2312980969746907,0.651
59,2.231623109181722,0.6528
60,2.231290372212728,0.6529
61,2.230386543273926,0.6556
62,2.2315006256103516,0.6525
63,2.231855742136638,0.6534
64,2.22998161315918,0.6507
65,2.2246493021647136,0.6522
66,2.223112678527832,0.6572
67,2.2234809875488284,0.6575
68,2.2218915303548177,0.661
69,2.224546718597412,0.6594
70,2.222336260477702,0.6607
71,2.2201738675435383,0.6631
72,2.217404460906982,0.6689
73,2.2128069559733077,0.6703
74,2.214556725819906,0.6708
75,2.2137380917867024,0.6724
76,2.216327444712321,0.6712
77,2.2160261154174807,0.6701
78,2.216343180338542,0.6717
79,2.212132994333903,0.675
80,2.2082896868387856,0.6764
81,2.2019922892252604,0.6779
82,2.2033226648966475,0.6809
83,2.2006974538167317,0.6816
84,2.1995518366495768,0.6834
85,2.2078774134318033,0.683
