epoch,loss,accuracy
1,2.1510631084442142,0.131
2,2.1392102718353274,0.1705
3,2.1059346834818524,0.2479
4,2.1276062965393066,0.3109
5,2.109834543863932,0.3865
6,2.1176237742106117,0.461
7,2.1109350681304933,0.5183
8,2.1099239190419516,0.5624
9,2.1100931326548262,0.6
10,2.1057304859161374,0.6185
11,2.10620592435201,0.6359
12,2.1032712141672767,0.6473
13,2.103845691680908,0.6583
14,2.100845130284627,0.6674
15,2.0993914922078454,0.6707
16,2.098444096247355,0.6771
17,2.095478248596191,0.6777
18,2.0948528925577796,0.6759
19,2.092771069208781,0.6819
20,2.092600790659587,0.6826
21,2.09050342241923,0.6848
22,2.089251708984375,0.6893
23,2.0872252623240155,0.6914
24,2.0850040117899575,0.6901
25,2.0838523864746095,0.6867
26,2.082563829421997,0.6869
27,2.08033701578776,0.6893
28,2.0782753944396974,0.6935
29,2.079717302322388,0.6945
30,2.074711990356445,0.6918
31,2.0733105659484865,0.6929
32,2.0736008008321125,0.6882
33,2.071900765101115,0.6919
34,2.070218849182129,0.6892
35,2.0677835782368974,0.69
36,2.066245190302531,0.691
37,2.0644343694051104,0.6902
38,2.065364662806193,0.6937
39,2.063767051696777,0.6931
40,2.059452533721924,0.6911
41,2.0583433151245116,0.692
42,2.056665309270223,0.6949
43,2.054504426320394,0.6946
44,2.057690238952637,0.6962
45,2.052774747212728,0.6976
46,2.0490782896677655,0.7003
47,2.0509230772654212,0.6974
48,2.0452763080596923,0.7049
49,2.0470643679300946,0.7036
