Diag,Sum
0.8453,0.8218
0.8439,0.8189
0.8451,0.8231
0.843,0.8197
0.8468,0.8239
0.8433,0.8226
0.8486,0.8238
0.842,0.822
0.8501,0.824
0.8407,0.8223
0.8517,0.8235
0.8398,0.8219
0.8529,0.8229
0.8374,0.8217
0.8531,0.8223
0.836,0.8232
0.8535,0.822
0.835,0.8246
0.8518,0.8221
0.8347,0.8246
0.8505,0.8232
0.8377,0.8254
0.8513,0.8256
0.8425,0.8281
0.8536,0.8262
0.8489,0.8302
0.8562,0.8288
0.8527,0.8304
0.8572,0.8309
0.8552,0.8311
0.8594,0.8315
0.8574,0.8322
0.8607,0.8329
0.8597,0.8338
0.8617,0.8342
0.8602,0.8342
0.863,0.8348
0.8607,0.8352
0.8641,0.8355
0.8619,0.8361
0.8661,0.8361
0.8626,0.8364
0.8663,0.8377
0.8634,0.837
0.8667,0.8385
0.864,0.838
0.8662,0.84
0.8652,0.839
0.8679,0.841
0.8653,0.8394
0.8653,0.8412
0.8648,0.8394
0.8617,0.8417
0.8638,0.8411
0.8587,0.8421
0.8605,0.8414
0.8539,0.8425
0.8531,0.8424
0.8514,0.8426
0.8482,0.8431
0.8553,0.8437
0.847,0.8448
0.8546,0.8435
0.8462,0.8452
0.8539,0.8434
0.8424,0.845
0.8531,0.843
0.8443,0.8448
0.8563,0.8425
0.8471,0.8458
0.858,0.8419
0.8453,0.8468
0.8609,0.8427
0.8398,0.8492
0.8602,0.8444
0.8351,0.8493
0.8588,0.8468
0.8283,0.8496
0.8534,0.8474
0.8232,0.8504
0.8501,0.8484
0.8264,0.85
0.8513,0.8448
0.8363,0.8473
0.8557,0.84
0.8465,0.8432
0.8589,0.838
0.8557,0.838
0.8618,0.8407
0.8609,0.8378
0.8635,0.8479
0.8634,0.8419
0.8646,0.85
0.8652,0.844
0.8667,0.8511
0.8679,0.8472
0.8681,0.8507
0.8687,0.8491
0.8695,0.8519
0.8696,0.8501
0.8706,0.8514
0.8712,0.8503
0.8707,0.8529
0.8713,0.8523
0.8715,0.8535
0.8721,0.8545
0.8728,0.8549
0.8734,0.8557
0.8729,0.8557
0.8736,0.8562
0.8736,0.8574
0.874,0.857
0.8745,0.8569
0.8752,0.8583
0.8748,0.8577
0.8762,0.8591
0.8756,0.8593
0.8775,0.8602
0.876,0.8599
0.8772,0.8603
0.8764,0.8607
0.8775,0.8608
0.876,0.8615
0.8767,0.8615
0.8761,0.862
0.8768,0.8626
0.8766,0.8628
0.8776,0.8629
0.8773,0.8635
0.8781,0.8627
0.8772,0.8634
0.8787,0.8625
0.8769,0.8635
0.879,0.8634
0.8767,0.8642
0.8786,0.8631
0.8779,0.8652
0.8795,0.8633
0.8784,0.866
0.8792,0.8634
0.8789,0.8662
0.8795,0.8632
0.8786,0.8658
0.8774,0.8635
0.8786,0.8652
0.8736,0.8643
0.8785,0.8649
0.8677,0.8649
0.8782,0.8645
0.8573,0.8646
0.8776,0.8643
0.8542,0.8651
0.8779,0.8633
0.85,0.8658
0.872,0.8641
0.8423,0.8671
0.8705,0.865
0.8459,0.8681
0.8686,0.8652
0.848,0.8685
0.8682,0.8655
0.8555,0.8685
0.8719,0.866
0.8655,0.8687
0.8739,0.8662
0.873,0.8689
0.8762,0.8667
0.8759,0.8687
0.8767,0.8664
0.8777,0.8689
0.8775,0.8677
0.8786,0.8678
0.8781,0.8682
0.8791,0.8644
0.8784,0.8683
0.8794,0.8596
0.8787,0.8665
0.8788,0.8504
0.8794,0.8618
0.8788,0.8464
0.8788,0.8571
0.8789,0.8487
0.879,0.8566
0.8799,0.8604
0.8801,0.8588
0.8802,0.8675
0.8801,0.8614
0.8802,0.8659
0.881,0.8603
0.8808,0.8634
0.8806,0.8575
0.8805,0.8609
0.8805,0.8515
0.8803,0.8617
0.881,0.8468
0.8808,0.8598
0.8819,0.8424
0.8813,0.8586
0.8823,0.8469
0.8815,0.8594
0.8828,0.855
0.8822,0.8621
0.8831,0.8605
0.8816,0.8642
0.8834,0.8637
0.8823,0.8665
0.8837,0.8655
0.8828,0.8668
0.8832,0.8656
0.8827,0.8656
0.8823,0.866
0.8829,0.8658
0.8814,0.8683
0.8823,0.8666
0.8795,0.8689
0.882,0.8668
0.8742,0.8698
0.8803,0.8687
0.8726,0.8706
0.879,0.8701
0.8724,0.8711
0.8768,0.8706
0.8735,0.8714
0.8763,0.8709
0.8724,0.8714
0.8741,0.8717
0.873,0.871
0.8726,0.8723
0.8759,0.8719
0.874,0.8723
0.8724,0.8716
0.8722,0.873
0.8696,0.8723
0.8721,0.8732
0.8717,0.8722
0.8723,0.8732
0.8726,0.8727
0.8708,0.8735
0.8736,0.8729
0.8488,0.8741
0.8688,0.8734
0.8419,0.8742
0.8663,0.8739
0.8199,0.8735
0.8465,0.8736
0.8269,0.8728
0.8383,0.8738
0.8192,0.8734
0.8326,0.874
0.8299,0.8737
0.8472,0.8738
0.8311,0.8728
0.8532,0.8739
0.822,0.8727
0.8525,0.8744
0.8174,0.8724
0.8528,0.8742
0.8238,0.8726
0.8508,0.8746
0.834,0.8723
0.8556,0.8752
0.8476,0.8729
0.8605,0.8752
0.8585,0.873
0.8656,0.8755
0.8668,0.8728
0.8683,0.8755
0.8691,0.873
0.8706,0.8761
0.8718,0.8727
0.8733,0.8755
0.8738,0.8729
0.8746,0.8759
0.8754,0.873
0.8757,0.8763
0.8764,0.8739
0.8769,0.8761
0.8772,0.8739
0.8779,0.8754
0.8775,0.8737
0.8779,0.8753
0.8786,0.8745
0.879,0.8751
0.8792,0.8743
0.8792,0.8743
0.8802,0.8748
0.8804,0.8748
0.8803,0.8754
0.881,0.8745
0.8801,0.8758
0.8807,0.8746
0.8822,0.877
0.8819,0.8738
0.8823,0.8772
0.8823,0.875
0.8827,0.8778
0.8835,0.8747
0.8832,0.8779
0.8829,0.8749
0.8833,0.8782
0.8836,0.8754
0.8841,0.8785
0.8839,0.8756
0.8841,0.8786
0.8843,0.8763
0.884,0.878
0.8846,0.8756
0.8845,0.8776
0.8845,0.8751
0.8849,0.8775
0.8845,0.8757
0.8852,0.8779
0.8851,0.8762
0.8854,0.8783
0.8858,0.8767
0.8861,0.8779
0.8871,0.877
0.8865,0.8775
0.8867,0.8771
0.8862,0.8759
0.8864,0.8769
0.8866,0.8754
0.886,0.8772
0.886,0.8768
0.8859,0.8772
0.8863,0.8767
0.8865,0.8777
0.8867,0.876
0.8869,0.8782
0.8869,0.8769
0.8875,0.8787
0.8872,0.8764
0.8877,0.8787
0.8871,0.8772
0.8871,0.8791
0.8871,0.878
0.8868,0.8792
0.8873,0.8783
0.8871,0.879
0.8871,0.8776
0.8876,0.8787
0.8874,0.8775
0.8875,0.8789
0.887,0.8776
0.8876,0.879
0.8872,0.8774
0.8874,0.8791
0.8878,0.8776
0.8878,0.8796
0.8869,0.8774
0.8879,0.8799
0.8883,0.8778
0.887,0.8797
0.8883,0.8785
0.8878,0.8793
0.8876,0.8787
0.8881,0.8793
0.8879,0.8785
0.8881,0.8786
0.8878,0.8785
0.8881,0.8784
0.8885,0.8787
0.8887,0.8791
0.8889,0.8788
0.8877,0.878
0.8883,0.8788
0.8884,0.8784
0.8882,0.8785
0.8887,0.8779
0.8886,0.8784
0.8885,0.8781
0.8889,0.8782
0.8892,0.8775
0.889,0.8781
0.889,0.8787
0.8891,0.8781
0.8888,0.8794
0.8893,0.8783
0.8892,0.8804
0.8896,0.8785
0.8892,0.8797
0.8889,0.8779
0.8895,0.8802
0.8897,0.8779
0.8892,0.8802
0.8891,0.8785
0.889,0.8806
0.8889,0.8783
0.8888,0.8801
0.8894,0.8785
0.8904,0.8799
0.8893,0.8779
0.8901,0.8784
0.8899,0.8751
0.8894,0.8789
0.8899,0.8696
0.8898,0.8786
0.8892,0.8643
0.8891,0.8779
0.8892,0.8605
0.889,0.8767
0.8901,0.8538
0.89,0.8737
0.8902,0.8549
0.8897,0.8743
0.8896,0.8669
0.8895,0.8772
0.8897,0.8749
0.89,0.8777
0.89,0.876
0.8902,0.8793
0.8899,0.8754
0.8902,0.8794
0.8892,0.8771
0.8901,0.8795
0.8897,0.8775
0.8898,0.8802
0.8897,0.8784
0.8893,0.8799
0.8897,0.8787
0.8891,0.8801
0.8893,0.879
0.8901,0.8802
0.8898,0.8789
0.8899,0.88
0.89,0.8792
0.8894,0.88
0.8896,0.8798
0.8891,0.88
0.89,0.8803
0.8891,0.8794
0.8898,0.8805
0.889,0.8797
0.89,0.8803
0.8895,0.8793
0.889,0.8798
0.8895,0.8792
0.8895,0.8805
0.8897,0.8794
0.8894,0.8804
0.8899,0.8788
0.8902,0.8806
0.8896,0.8785
0.8902,0.8806
0.8902,0.8792
0.8908,0.8809
0.8902,0.8787
0.8899,0.8808
